SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
11000001;-1;5.50;-1;-1;-1;2.25;7;-1;-1;-1;-1;-1;-1;-1;
11000002;6.40;6;-1;-1;-1;4.50;8.25;9.25;3.20;-1;-1;-1;-1;-1;
11000003;4.20;5.25;-1;-1;-1;3.75;4.50;8;5.20;-1;-1;-1;-1;-1;
11000004;7.60;8;-1;-1;-1;8.25;9;10;6.40;-1;-1;-1;-1;-1;
11000005;7.60;6;8.25;5.50;4.25;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
11000006;5.20;7.50;-1;-1;-1;3.75;8.25;9;3.40;-1;-1;-1;-1;-1;
11000007;7.60;7.25;-1;-1;-1;6;8.75;10;6.20;-1;-1;-1;-1;-1;
11000008;3.20;6.75;-1;-1;-1;4.25;6.75;9.50;2.60;-1;-1;-1;-1;-1;
11000009;7;4;8;7.25;2.75;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
11000010;6.80;7;-1;-1;-1;7.50;9;10;5.20;-1;-1;-1;-1;-1;
11000011;7.20;6;-1;-1;-1;6.75;8.25;9;4.80;-1;-1;-1;-1;-1;
11000012;5.20;4.25;-1;-1;-1;3.50;8;7.50;3.60;-1;-1;-1;-1;-1;
11000013;-1;5.25;-1;-1;-1;8.75;8.50;-1;-1;-1;-1;-1;-1;-1;
11000014;4.80;6.25;-1;-1;-1;5.50;6.25;7.50;3.40;-1;-1;-1;-1;-1;
11000015;6.40;5.75;-1;-1;-1;5.75;8.75;9.25;5.20;-1;-1;-1;-1;-1;
11000016;3;4.50;-1;-1;-1;3.50;7.75;9.50;3.60;-1;-1;-1;-1;-1;
11000017;5.60;5.75;-1;-1;-1;5.50;7.75;8.50;4.20;-1;-1;-1;-1;-1;
11000018;6.80;6.50;-1;-1;-1;7;8.75;10;7.20;-1;-1;-1;-1;-1;
11000019;-1;6.75;-1;-1;-1;8.75;9;-1;-1;-1;-1;-1;-1;-1;
11000020;5.60;6;-1;-1;-1;6;8.25;9.75;5.80;-1;-1;-1;-1;-1;
11000021;6;6.25;-1;-1;-1;5;8;8.75;5;-1;-1;-1;-1;-1;
11000022;6.40;5.75;-1;-1;-1;5.75;8.25;9.75;6.20;-1;-1;-1;-1;-1;
11000023;5.20;5.75;-1;-1;-1;6.50;6.75;8.75;3.40;-1;-1;-1;-1;-1;
11000024;6;5.75;-1;-1;-1;3;6;7.75;2.40;-1;-1;-1;-1;-1;
11000025;5.80;6.50;-1;-1;-1;5.50;6.50;8.25;4.40;-1;-1;-1;-1;-1;
