SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
49000001;8.80;6.50;7.25;7.75;6.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
49000002;7.80;8;7.50;8;7.50;-1;-1;-1;7;-1;-1;-1;-1;-1;
49000003;6.80;7;5.50;6.25;5;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
49000004;6;5.50;4.25;6.25;7;-1;-1;-1;2.80;-1;-1;-1;-1;-1;
49000005;7;6.83;6;6.25;6.75;-1;-1;-1;5;-1;-1;-1;-1;-1;
49000006;5;4.50;5.75;3.50;5.50;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
49000008;5.20;4.75;-1;-1;-1;6;7.75;9.25;3.80;-1;-1;-1;-1;-1;
49000009;6.20;5.50;4;3.75;3;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
49000010;5.60;4;-1;-1;-1;6;9;-1;-1;-1;-1;-1;-1;-1;
49000011;6.40;8.25;6;5.25;7.75;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
49000012;6.60;5.50;6.50;6.75;6;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
49000013;7.20;7;5.75;7.75;6.50;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
49000014;4.60;8.50;-1;-1;-1;6.25;7.75;9.50;4;-1;-1;-1;-1;-1;
49000015;7;6.75;6.50;7.25;5.25;-1;-1;-1;5;-1;-1;-1;-1;-1;
49000016;6.40;5.75;4;5.25;3.50;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
49000017;5.80;6;-1;-1;-1;3;5.25;7;3;-1;-1;-1;-1;-1;
49000018;7;8.50;6.50;6.75;4.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
49000019;5.80;4.75;-1;-1;-1;4.25;7.50;9.25;3.40;-1;-1;-1;-1;-1;
49000020;5.80;4;-1;-1;-1;7.25;8;-1;-1;-1;-1;-1;-1;-1;
49000021;7.60;6;6.75;7.25;7.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
49000022;6;5;5;4.50;4;-1;-1;-1;2.60;-1;-1;-1;-1;-1;
49000023;3.60;6;-1;-1;-1;2;5;-1;-1;-1;-1;-1;-1;-1;
49000024;6;5.17;-1;-1;-1;3.50;7.25;9;4.40;-1;-1;-1;-1;-1;
49000025;6.40;6.25;-1;-1;-1;6;8;-1;-1;-1;-1;-1;-1;-1;
49000026;7.60;5.25;-1;-1;-1;4.75;7;9;3.80;-1;-1;-1;-1;-1;
49000027;7;5.58;-1;-1;-1;3;7.25;8;2.20;-1;-1;-1;-1;-1;
49000028;6.80;6;-1;-1;-1;5.75;7.50;9.25;4;-1;-1;-1;-1;-1;
49000029;7.40;6;7.50;6;5.25;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
49000030;6.20;6.50;-1;-1;-1;5.25;7.25;7;4.80;-1;-1;-1;-1;-1;
49000031;5.40;6.50;-1;-1;-1;5.75;7.25;-1;-1;-1;-1;-1;-1;-1;
49000032;7.80;6;-1;-1;-1;8.75;8.50;9.25;9.80;-1;-1;-1;-1;-1;
49000033;4.20;6.50;3.75;4;3.75;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
49000034;5.60;7.75;6.25;7.25;4.50;-1;-1;-1;2.60;-1;-1;-1;-1;-1;
49000035;7.40;7;7;4;6;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
49000036;5.80;5.50;-1;-1;-1;3.75;7.50;8;3.80;-1;-1;-1;-1;-1;
49000037;6.40;7.25;-1;-1;-1;3.50;7.25;9;6;-1;-1;-1;-1;-1;
49000038;7;8;4.50;8;8.25;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
