SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
6000001;-1;4.25;-1;-1;-1;6.50;7;-1;-1;-1;-1;-1;-1;-1;
6000002;5;7;-1;-1;-1;6.75;6.75;8.50;2.60;-1;-1;-1;-1;-1;
6000003;4.20;6;-1;-1;-1;4;5.50;8;2.20;-1;-1;-1;-1;-1;
6000004;3.20;4.25;-1;-1;-1;4;5;4;3.20;-1;-1;-1;-1;-1;
6000005;4.20;8;-1;-1;-1;4.50;7.25;8.25;4;-1;-1;-1;-1;-1;
6000006;3.40;3.25;-1;-1;-1;3.75;6.75;6.50;5;-1;-1;-1;-1;-1;
6000007;7.80;7.25;-1;-1;-1;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
6000008;6.60;5.75;-1;-1;-1;5.50;-1;-1;-1;-1;-1;-1;-1;-1;
6000009;-1;5;-1;-1;-1;4.50;7.75;-1;-1;-1;-1;-1;-1;-1;
6000010;4.80;5.25;-1;-1;-1;3;5.50;4;3.40;-1;-1;-1;-1;-1;
6000011;4.60;6.50;-1;-1;-1;-1;-1;-1;3.60;-1;-1;-1;-1;-1;
6000012;7.20;6.50;-1;-1;-1;5.50;7.50;9.50;4;-1;-1;-1;-1;-1;
6000013;2.20;3.25;-1;-1;-1;2.50;3;5.50;2.20;-1;-1;-1;-1;-1;
6000014;6.60;4.50;-1;-1;-1;6.50;7.50;7.50;2.20;-1;-1;-1;-1;-1;
6000015;3.20;3.75;-1;-1;-1;2;6;-1;-1;-1;-1;-1;-1;-1;
6000016;4.20;4.50;-1;-1;-1;6.25;6.50;7.50;2;-1;-1;-1;-1;-1;
6000017;3.80;5.50;-1;-1;-1;3;3.75;8;2.20;-1;-1;-1;-1;-1;
6000018;5.40;8;-1;-1;-1;4.50;8;8;3.80;-1;-1;-1;-1;-1;
6000019;4.60;5.75;-1;-1;-1;5.25;6.50;6.50;2.40;-1;-1;-1;-1;-1;
6000020;3.80;-1;3.25;2.50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6000021;3.60;6.25;-1;-1;-1;4.25;5.25;8;3;-1;-1;-1;-1;-1;
6000022;3;5.75;-1;-1;-1;3;3.75;5;2.60;-1;-1;-1;-1;-1;
6000023;6.40;7.50;-1;-1;-1;5;7.75;8.75;3.60;-1;-1;-1;-1;-1;
6000024;3.80;6;-1;-1;-1;4.25;6.50;7.25;3.80;-1;-1;-1;-1;-1;
6000025;6;5.80;-1;-1;-1;5.50;7.75;8.75;4;-1;-1;-1;-1;-1;
6000026;2.80;4.16;-1;-1;-1;1.50;5.75;4.50;3;-1;-1;-1;-1;-1;
6000027;5;5.09;-1;-1;-1;4;7.75;8.50;3.20;-1;-1;-1;-1;-1;
6000028;2.40;2.50;-1;-1;-1;2;2.75;-1;-1;-1;-1;-1;-1;-1;
6000029;5.20;5.50;-1;-1;-1;4;6.75;5.25;3;-1;-1;-1;-1;-1;
6000030;2.80;3.75;-1;-1;-1;3;6;5.50;5;-1;-1;-1;-1;-1;
6000031;7;6.25;-1;-1;-1;6;8.25;9.25;5.80;-1;-1;-1;-1;-1;
6000032;8;-1;-1;8;7.50;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6000033;6;6;-1;-1;-1;4;7.25;8.25;3;-1;-1;-1;-1;-1;
6000034;4.40;6.75;-1;-1;-1;4;8.25;9.25;3.60;-1;-1;-1;-1;-1;
6000035;-1;8;-1;-1;-1;10;9.50;-1;-1;-1;-1;-1;-1;-1;
6000036;3.60;4.50;-1;-1;-1;5.50;6.25;7.50;2;-1;-1;-1;-1;-1;
6000037;4.40;4;-1;-1;-1;3.25;4.50;7.75;3.20;-1;-1;-1;-1;-1;
6000038;3.20;5;-1;-1;-1;4.25;5.75;6.25;2.60;-1;-1;-1;-1;-1;
6000039;6.20;6.75;-1;-1;-1;4.25;7.25;7.25;3.60;-1;-1;-1;-1;-1;
6000040;4.40;5.75;-1;-1;-1;5;7.50;8.75;3;-1;-1;-1;-1;-1;
6000041;6.20;6.50;-1;-1;-1;3.25;8.25;8.75;2.80;-1;-1;-1;-1;-1;
6000042;1.80;3.50;-1;-1;-1;3;4.25;7;2.60;-1;-1;-1;-1;-1;
6000043;7.60;-1;7.75;8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
6000044;4.20;4;-1;-1;-1;3.25;4;4.75;2.60;-1;-1;-1;-1;-1;
6000045;4.40;2;-1;-1;-1;3.50;5.25;-1;-1;-1;-1;-1;-1;-1;
6000046;3;3;-1;-1;-1;4.50;5;6.75;3;-1;-1;-1;-1;-1;
6000047;3.40;4;-1;-1;-1;3.75;6;8;3.40;-1;-1;-1;-1;-1;
6000048;5.80;7.50;-1;-1;-1;4.50;8;8.75;2.40;-1;-1;-1;-1;-1;
6000049;6;5.30;-1;-1;-1;3.25;5.75;7.75;3.40;-1;-1;-1;-1;-1;
6000050;3.60;3;-1;-1;-1;5.75;6.75;7.25;3.20;-1;-1;-1;-1;-1;
6000051;2.40;5.91;-1;-1;-1;3.25;6.75;6.25;2.60;-1;-1;-1;-1;-1;
6000052;3.20;5.50;-1;-1;-1;4.25;7.25;7.25;3.60;-1;-1;-1;-1;-1;
6000053;3;3.75;-1;-1;-1;3.25;4.75;5;3.40;-1;-1;-1;-1;-1;
6000054;4.20;6.75;-1;-1;-1;5.75;7;6.50;2.20;-1;-1;-1;-1;-1;
6000055;-1;6.75;-1;-1;-1;5;8.50;-1;-1;-1;-1;-1;-1;-1;
6000056;2;6.75;-1;-1;-1;3;6.75;7;2.40;-1;-1;-1;-1;-1;
6000057;6;7;-1;-1;-1;7.25;8.25;9.25;3.40;-1;-1;-1;-1;-1;
6000058;-1;7.50;-1;-1;-1;9.75;9.50;-1;-1;-1;-1;-1;-1;-1;
6000059;3.40;4.75;-1;-1;-1;4;5.50;6.50;3.40;-1;-1;-1;-1;-1;
6000060;6.60;8;-1;-1;-1;7.50;8.25;9.50;3.40;-1;-1;-1;-1;-1;
6000061;4.80;4.75;-1;-1;-1;3.25;7.25;7.50;3.40;-1;-1;-1;-1;-1;
6000062;3.40;3.25;-1;-1;-1;3.75;3.50;-1;-1;-1;-1;-1;-1;-1;
6000063;4.20;4.25;-1;-1;-1;1.75;7.75;7.75;3.40;-1;-1;-1;-1;-1;
6000064;4;4.50;-1;-1;-1;4.25;7.50;7.25;3.60;-1;-1;-1;-1;-1;
6000065;2.60;2.50;-1;-1;-1;2;6.25;-1;-1;-1;-1;-1;-1;-1;
6000066;4;5.75;-1;-1;-1;4;6.50;8;3.20;-1;-1;-1;-1;-1;
6000067;2.60;2.75;-1;-1;-1;3.50;2.75;5.25;2.40;-1;-1;-1;-1;-1;
6000068;6.80;7.75;-1;-1;-1;6;7.25;9.75;3.40;-1;-1;-1;-1;-1;
6000069;5.60;6.50;-1;-1;-1;4.75;7.50;9.25;3.20;-1;-1;-1;-1;-1;
6000070;3.60;3.25;-1;-1;-1;2;4.50;5;3.20;-1;-1;-1;-1;-1;
6000071;4.80;5.75;-1;-1;-1;4;8;8.25;3.20;-1;-1;-1;-1;-1;
6000072;4.40;6.50;-1;-1;-1;9.25;8.50;10;5;-1;-1;-1;-1;-1;
6000073;2.60;5.75;-1;-1;-1;3.50;2.50;5.50;2;-1;-1;-1;-1;-1;
6000074;4.20;3.50;-1;-1;-1;3;6.25;6;1.80;-1;-1;-1;-1;-1;
6000075;3.20;6;-1;-1;-1;3;6.25;5.75;2.80;-1;-1;-1;-1;-1;
6000076;3.80;4.25;-1;-1;-1;3.50;5.75;6.75;2.40;-1;-1;-1;-1;-1;
6000077;7.40;8;-1;-1;-1;6.25;7.25;9.25;3.60;-1;-1;-1;-1;-1;
6000078;3.20;4.75;-1;-1;-1;3;4.25;3.25;3.40;-1;-1;-1;-1;-1;
6000079;3.20;5.25;-1;-1;-1;5.75;5.75;8;3;-1;-1;-1;-1;-1;
6000080;2.80;3.75;-1;-1;-1;3.50;4.75;5.50;3;-1;-1;-1;-1;-1;
6000081;6;6.50;-1;-1;-1;5.50;7.75;9;4.60;-1;-1;-1;-1;-1;
