SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
64000001;3.60;5.50;-1;-1;-1;4;3.75;7.50;3.60;-1;-1;-1;-1;-1;
64000002;4.60;6;5;4.25;3.50;-1;-1;-1;2;-1;-1;-1;-1;-1;
64000003;8.60;7.25;8;7.25;5.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
64000004;5.40;7;-1;-1;-1;4.25;7;8;4.40;-1;-1;-1;-1;-1;
64000005;5.80;6;-1;-1;-1;3;6.50;8.25;4;-1;-1;-1;-1;-1;
64000006;5.80;6.25;-1;-1;-1;7;7.75;8.50;4.60;-1;-1;-1;-1;-1;
64000007;6.20;6.75;-1;-1;-1;6.25;8;9.75;4.60;-1;-1;-1;-1;-1;
64000008;6.40;5.75;-1;-1;-1;7.50;8.25;9.50;4.40;-1;-1;-1;-1;-1;
64000009;5.20;5;-1;-1;-1;2.50;5.25;6.25;3.40;-1;-1;-1;-1;-1;
64000010;5.80;7.50;-1;-1;-1;5.25;7.50;9.50;5;-1;-1;-1;-1;-1;
64000011;8.40;7.25;-1;-1;-1;8;7.75;9.50;6.60;-1;-1;-1;-1;-1;
64000012;6.60;7;-1;-1;-1;8.25;8;9.50;7.40;-1;-1;-1;-1;-1;
64000013;4;7.75;-1;-1;-1;3.75;6.50;8.50;3.40;-1;-1;-1;-1;-1;
64000014;7.60;8;-1;-1;-1;7.50;8;8.75;5.60;-1;-1;-1;-1;-1;
64000015;7.20;6.25;-1;-1;-1;3.25;6.50;7.50;4.20;-1;-1;-1;-1;-1;
64000016;7.80;7.50;7.25;7.50;7;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
64000017;4.80;5;-1;-1;-1;6.75;7.25;7.75;3;-1;-1;-1;-1;-1;
64000018;7;7;-1;-1;-1;5.50;6.25;8.50;3.80;-1;-1;-1;-1;-1;
64000019;4.80;5;4.50;7.25;4;-1;-1;-1;3;-1;-1;-1;-1;-1;
64000020;6.20;6.75;-1;-1;-1;2.50;5.50;7;4.20;-1;-1;-1;-1;-1;
64000021;6.20;7.25;-1;-1;-1;7;7.75;9.25;5.80;-1;-1;-1;-1;-1;
64000022;7.20;6.25;-1;-1;-1;5.50;8.50;7.75;7.40;-1;-1;-1;-1;-1;
64000023;6.60;4.75;-1;-1;-1;6.50;8.50;9;6.20;-1;-1;-1;-1;-1;
64000024;7.80;5.42;-1;-1;-1;6.25;7.75;9;5;-1;-1;-1;-1;-1;
