SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
55000001;7;7.25;-1;-1;-1;3.25;7.25;8;4.20;-1;-1;-1;-1;-1;
55000002;7;6.75;7;7.75;6.50;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
55000003;6.40;6.50;-1;-1;-1;4.25;7.50;7.75;3.80;-1;-1;-1;-1;-1;
55000004;7;7;4.50;4.25;4;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
55000005;7.60;7;6;6.25;5.50;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
55000006;6.20;7.50;5.75;7;6.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
55000007;5;6.50;-1;-1;-1;4.25;7.50;8;4;-1;-1;-1;-1;-1;
55000008;8.20;8.50;-1;-1;-1;4;7.50;9;8.80;-1;-1;-1;-1;-1;
55000009;4.60;6.50;-1;-1;-1;2.50;7.75;8.25;3.60;-1;-1;-1;-1;-1;
55000010;4.60;6;-1;-1;-1;4.75;7.25;8.75;2.80;-1;-1;-1;-1;-1;
55000011;4.80;7;-1;-1;-1;6.50;7.75;8.50;4.40;-1;-1;-1;-1;-1;
55000012;4.20;5.50;-1;-1;-1;4.75;6.50;7.25;3.80;-1;-1;-1;-1;-1;
55000013;8;6.75;-1;-1;-1;5.25;8.25;8.75;8.80;-1;-1;-1;-1;-1;
55000014;7.60;6.25;7;7;5.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
55000015;4.60;6;-1;-1;-1;4.25;6.25;9;3.80;-1;-1;-1;-1;-1;
55000016;6.40;7.75;-1;-1;-1;2.50;6.50;7.25;7.80;-1;-1;-1;-1;-1;
55000017;7;7.50;-1;-1;-1;8;9.25;9.50;7;-1;-1;-1;-1;-1;
55000018;8.60;7.50;8.50;7.25;6.50;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
55000019;8.40;5.75;-1;-1;-1;3.75;7.75;8.75;8;-1;-1;-1;-1;-1;
55000020;8.40;6.25;6.25;7.50;8.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
55000021;7.60;8.25;-1;-1;-1;4.75;8;9;8.80;-1;-1;-1;-1;-1;
55000022;5.20;7;-1;-1;-1;6.75;7.50;9.25;4.60;-1;-1;-1;-1;-1;
55000023;7.80;8;-1;-1;-1;6.25;8;9.25;5.60;-1;-1;-1;-1;-1;
55000024;8;7.25;5.75;7.25;6.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
55000025;4.60;5.75;-1;-1;-1;6.50;7.25;8.50;5.40;-1;-1;-1;-1;-1;
55000026;8.60;6.50;7.25;7.75;6;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
55000027;4.80;5;-1;-1;-1;3;4.75;4.50;3.80;-1;-1;-1;-1;-1;
55000028;7.40;8;-1;-1;-1;5.50;8.75;8.50;5.80;-1;-1;-1;-1;-1;
55000029;7;6.75;-1;-1;-1;4.25;7;9.50;5.40;-1;-1;-1;-1;-1;
55000030;4.60;6;-1;-1;-1;4.50;4.75;7.25;3;-1;-1;-1;-1;-1;
55000031;8.40;6;5;6.75;5.75;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
55000032;8.60;6.50;7.50;4;6;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
55000033;7.80;8;-1;-1;-1;8.75;8.25;9.75;7.80;-1;-1;-1;-1;-1;
55000034;7;7.50;-1;-1;-1;6.75;8;9.50;6.20;-1;-1;-1;-1;-1;
