SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
25000001;8.40;8;-1;-1;-1;8.75;8.50;9.50;10;-1;-1;-1;-1;-1;
25000002;9;8.50;-1;-1;-1;8.75;8.75;9.25;9.80;-1;-1;-1;-1;-1;
25000003;8.80;9;-1;-1;-1;4.50;8.50;9.25;9.40;-1;-1;-1;-1;-1;
25000004;8.20;8;-1;-1;-1;7.50;8.75;9.25;10;-1;-1;-1;-1;-1;
25000005;9.20;9;-1;-1;-1;7;7.50;10;9.40;-1;-1;-1;-1;-1;
25000006;9;7.50;-1;-1;-1;5.75;7.75;9.50;9.60;-1;-1;-1;-1;-1;
25000007;9;6.75;6.75;8.25;8.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
25000008;8.60;7.75;-1;-1;-1;6.50;8.75;10;9.40;-1;-1;-1;-1;-1;
25000009;7;8;-1;-1;-1;8.75;7.75;8.25;-1;-1;7.80;-1;-1;-1;
25000010;8;8;-1;-1;-1;5.25;7;8.50;9.80;-1;-1;-1;-1;-1;
25000011;8.80;8.50;-1;-1;-1;8;8.50;9.50;9.80;-1;-1;-1;-1;-1;
25000012;7.40;6.50;-1;-1;-1;5.25;8.25;9.25;-1;-1;7.20;-1;-1;-1;
25000013;8.80;8;-1;-1;-1;6.25;7.75;9.50;10;-1;-1;-1;-1;-1;
25000014;8.20;7.50;4.75;9;8.75;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
25000015;9.40;7.25;9.25;5.75;6.75;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
25000016;9.20;5.75;8.50;8.75;9.50;-1;-1;-1;9;-1;-1;-1;-1;-1;
25000017;7.20;8.25;-1;-1;-1;3;6.50;9.25;8.20;-1;-1;-1;-1;-1;
25000018;9;6.75;6.50;8.25;9.50;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
25000019;9.40;8;-1;-1;-1;6.75;7.50;9.75;-1;-1;9.60;-1;-1;-1;
25000020;9.20;5.75;8.75;8.25;8.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
25000021;8.60;8.75;-1;-1;-1;9;9.25;9.75;9.20;-1;-1;-1;-1;-1;
25000022;8.60;7.75;5.75;4.50;8.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
25000023;8.80;6;7.50;6.75;6.75;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
25000024;8.60;6.75;7.50;8.25;5.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
25000025;8.80;7.50;7.25;9;6.75;-1;-1;-1;9;-1;-1;-1;-1;-1;
25000026;8.60;8;9.25;8;6;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
25000027;7.20;7.75;-1;-1;-1;8.75;9.50;10;-1;7.40;-1;-1;-1;-1;
25000028;8.60;6.50;8.25;3.50;5;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
25000029;8.40;7.75;-1;-1;-1;7;8;8;8.80;-1;-1;-1;-1;-1;
25000030;9.20;7.25;5.25;8.75;9.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
25000031;6.60;8;-1;-1;-1;9.75;8.75;9.75;9.80;-1;-1;-1;-1;-1;
25000032;8.80;8.75;-1;-1;-1;7;7.75;9.75;9;-1;-1;-1;-1;-1;
25000033;9;6;7.25;7.25;7.50;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
25000034;8.80;7.50;7.75;5;4;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
25000035;8.40;7.50;-1;-1;-1;4.50;8.50;9.50;8.80;-1;-1;-1;-1;-1;
25000036;9;6.75;8.50;5.50;6.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
25000037;5;7.50;-1;-1;-1;9.50;9;8.75;7.80;-1;-1;-1;-1;-1;
25000038;8.40;8.75;-1;-1;-1;8;7.75;9.75;9.60;-1;-1;-1;-1;-1;
25000039;7.60;7.25;7.75;4;5.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
25000040;8.60;6.50;7.75;5.75;6.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
25000041;8;8.75;-1;-1;-1;5.25;7.25;9.25;9;-1;-1;-1;-1;-1;
25000042;7.60;7.75;-1;-1;-1;6.25;8;9;-1;-1;9.80;-1;-1;-1;
25000043;8.20;8;-1;-1;-1;9;8.75;10;9.80;-1;-1;-1;-1;-1;
25000044;8.40;8;-1;-1;-1;7;7;9;10;-1;-1;-1;-1;-1;
25000045;8.80;6.50;8.75;5.50;4.75;-1;-1;-1;10;-1;-1;-1;-1;-1;
