SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
43000001;5.80;7.50;-1;-1;-1;5;7.75;9;4.40;-1;-1;-1;-1;-1;
43000002;6.20;6;-1;-1;-1;6.25;5.75;6.75;5.40;-1;-1;-1;-1;-1;
43000003;6.80;5.50;-1;-1;-1;5.25;7.50;9.25;7.40;-1;-1;-1;-1;-1;
43000004;4.20;7.25;-1;-1;-1;6;7.75;8;4.80;-1;-1;-1;-1;-1;
43000005;6.40;7.25;-1;-1;-1;6.25;8.50;9.75;6.40;-1;-1;-1;-1;-1;
43000006;8.40;8.25;6.25;6.50;6.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
43000007;8;5.50;-1;-1;-1;4;6;8.25;7.20;-1;-1;-1;-1;-1;
43000008;7.40;8;7.25;6.75;7;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
43000009;7.20;5.50;6.50;8;6;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
43000010;3.60;6.75;-1;-1;-1;5;6.25;7.50;4.20;-1;-1;-1;-1;-1;
43000011;8.20;6;5.75;6.75;5.50;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
43000012;8;6;7;6;4.25;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
43000013;7.60;6.75;-1;-1;-1;8;8;9.75;6.60;-1;-1;-1;-1;-1;
43000014;6.60;7.25;-1;-1;-1;3.50;8;8.75;5.60;-1;-1;-1;-1;-1;
43000015;6.20;7;-1;-1;-1;4;6.50;9.50;8.80;-1;-1;-1;-1;-1;
43000016;5.40;7;-1;-1;-1;6.75;8;9;5.60;-1;-1;-1;-1;-1;
43000017;7;7.75;-1;-1;-1;3;6;7;6.40;-1;-1;-1;-1;-1;
43000018;7.80;7;6;4.75;8.25;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
43000019;6.40;6;-1;-1;-1;6.25;7.25;9.50;8;-1;-1;-1;-1;-1;
43000020;4;4.50;-1;-1;-1;3.50;5.25;7;3.40;-1;-1;-1;-1;-1;
43000021;7.80;5.25;6.25;8.25;6.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
43000022;7.40;7.50;-1;-1;-1;9.25;8.75;8.75;7.60;-1;-1;-1;-1;-1;
43000023;7.40;7.25;-1;-1;-1;5.25;7.25;9;6.20;-1;-1;-1;-1;-1;
43000024;8.80;4.75;5.50;7;7.50;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
43000025;6.60;6.75;4;2.25;4.50;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
43000026;7.60;6;-1;-1;-1;5.25;7.25;9.75;4.20;-1;-1;-1;-1;-1;
43000027;8.20;5.25;6.25;7.25;3.50;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
43000028;8.60;5.25;6.75;7;6.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
43000029;8.20;7;-1;-1;-1;6.75;7.75;9.25;7.80;-1;-1;-1;-1;-1;
43000030;8.60;5.50;6.50;5.50;5.50;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
43000031;7.60;5.75;5.50;3;6.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
43000032;6.40;5.50;-1;-1;-1;7.50;8;9;5.40;-1;-1;-1;-1;-1;
43000033;8;6.75;6;7.25;6.50;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
43000034;5.80;4.25;-1;-1;-1;5.75;7;7.75;6;-1;-1;-1;-1;-1;
43000035;7;6.50;-1;-1;-1;7.50;7.50;9.25;8;-1;-1;-1;-1;-1;
43000036;5.20;6.25;-1;-1;-1;4.25;6.25;8.50;3.60;-1;-1;-1;-1;-1;
43000037;7.40;6.75;-1;-1;-1;4.75;7;7.25;5.40;-1;-1;-1;-1;-1;
43000038;8;9.25;6.50;5.50;5.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
43000039;5.40;7;-1;-1;-1;4.75;7.25;9.75;7.80;-1;-1;-1;-1;-1;
43000040;6.40;6;-1;-1;-1;6;7.75;8;4;-1;-1;-1;-1;-1;
43000041;6;6;-1;-1;-1;4.75;7.75;8.50;4.20;-1;-1;-1;-1;-1;
43000042;6.40;6.50;-1;-1;-1;6;7;9.75;5.60;-1;-1;-1;-1;-1;
43000043;6;7;-1;-1;-1;7.50;6.75;9;4.80;-1;-1;-1;-1;-1;
43000044;8;5.75;-1;-1;-1;4.75;7.50;9.25;5.80;-1;-1;-1;-1;-1;
43000045;9;8.75;6.50;8;8.25;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
43000046;6.80;6.25;-1;-1;-1;4.75;8.50;9.25;7.40;-1;-1;-1;-1;-1;
43000047;7.40;7.25;7;6.75;5.75;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
43000048;7.60;6;6;6.25;5.50;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
43000049;7.80;8.75;7.75;7.75;7;-1;-1;-1;10;-1;-1;-1;-1;-1;
43000050;4;5.50;-1;-1;-1;4;7.25;8.50;3;-1;-1;-1;-1;-1;
43000051;8;7.50;-1;-1;-1;7.25;7.75;9.50;5.60;-1;-1;-1;-1;-1;
43000052;8.40;6.75;7.25;7.75;6.75;-1;-1;-1;3;-1;-1;-1;-1;-1;
43000053;7.80;7.50;-1;-1;-1;6.25;7.75;9;9;-1;-1;-1;-1;-1;
43000054;6.60;6.50;5.75;7.50;6.50;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
43000055;8;6.25;-1;-1;-1;2.75;7;8.25;7.80;-1;-1;-1;-1;-1;
43000056;5.80;5.50;-1;-1;-1;6.50;7.75;8.75;5.60;-1;-1;-1;-1;-1;
43000057;6.60;7;-1;-1;-1;3.75;6.75;8.25;5;-1;-1;-1;-1;-1;
43000058;7.80;7.75;5;6.25;5.50;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
43000059;6.80;6;5.75;4.75;6.50;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
43000060;8.20;6.75;8.50;8.25;7;-1;-1;-1;7;-1;-1;-1;-1;-1;
43000061;5.80;6.50;-1;-1;-1;5.75;6.75;8.50;2.80;-1;-1;-1;-1;-1;
43000062;8.20;8;7.75;4.25;5.75;-1;-1;-1;5;-1;-1;-1;-1;-1;
43000063;6.40;6.50;6.25;4.75;4.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
43000064;7;6;-1;-1;-1;7;7.50;9.25;9.40;-1;-1;-1;-1;-1;
43000065;7.20;6.25;-1;-1;-1;5.25;6.75;8.50;6.40;-1;-1;-1;-1;-1;
43000066;8.20;7.75;-1;-1;-1;3.50;6.25;8.75;6.80;-1;-1;-1;-1;-1;
43000067;6.80;6.75;-1;-1;-1;5.25;7;8.25;5.20;-1;-1;-1;-1;-1;
43000068;8.20;4.50;8;7.75;5.75;-1;-1;-1;4;-1;-1;-1;-1;-1;
43000069;7.40;6.50;7.75;4.75;4.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
43000070;7.80;4.50;4.50;9;7.25;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
43000071;6.80;7.25;-1;-1;-1;8.50;9;9.75;8;-1;-1;-1;-1;-1;
43000072;5;7.50;-1;-1;-1;5;7.25;8.50;9.60;-1;-1;-1;-1;-1;
43000073;5.20;4.75;-1;-1;-1;4.50;7;8.75;4.20;-1;-1;-1;-1;-1;
43000074;7.40;4.25;-1;-1;-1;5.25;8;9.50;8.80;-1;-1;-1;-1;-1;
43000075;7.60;6.25;-1;-1;-1;5.50;7;8.75;8;-1;-1;-1;-1;-1;
43000076;7.40;6.75;-1;-1;-1;3.50;6.50;10;6;-1;-1;-1;-1;-1;
43000077;8.40;8.50;-1;-1;-1;4.75;4.75;7.75;9.80;-1;-1;-1;-1;-1;
43000078;6.40;8;-1;-1;-1;3.75;6;7.75;5;-1;-1;-1;-1;-1;
43000079;5.20;5.75;-1;-1;-1;6;7.75;10;4.20;-1;-1;-1;-1;-1;
43000080;6;7.50;-1;-1;-1;7;8;10;6;-1;-1;-1;-1;-1;
43000081;7.40;6.75;6.25;5;6.25;-1;-1;-1;8;-1;-1;-1;-1;-1;
43000082;9;6.75;8.25;7.75;4.75;-1;-1;-1;8;-1;-1;-1;-1;-1;
43000083;7.80;6.75;-1;-1;-1;7.50;8.25;9.75;7;-1;-1;-1;-1;-1;
43000084;6;7.25;-1;-1;-1;6.50;6.25;10;5;-1;-1;-1;-1;-1;
43000085;8.20;6.50;5.75;7.75;6.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
43000086;5.20;5.75;-1;-1;-1;3.25;7;8.50;1.20;-1;-1;-1;-1;-1;
43000087;5;5;-1;-1;-1;4.75;6;8.75;6.20;-1;-1;-1;-1;-1;
43000088;6.60;7.25;-1;-1;-1;8;8.25;9;4.40;-1;-1;-1;-1;-1;
43000089;7.40;6;7.25;6;5.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
43000090;5.60;6.75;-1;-1;-1;3.25;6.50;8;7;-1;-1;-1;-1;-1;
43000091;7.20;7;-1;-1;-1;5.25;8;9.75;4.80;-1;-1;-1;-1;-1;
43000092;8;7;7;6.50;5.50;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
43000093;8.20;7.50;7.50;7.75;6.50;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
43000094;6.20;6.75;-1;-1;-1;5.50;7.25;9;6;-1;-1;-1;-1;-1;
43000095;8.40;6.50;6.25;8.25;8.75;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
43000096;8.40;5.75;8;7.25;4;-1;-1;-1;6;-1;-1;-1;-1;-1;
43000097;7.40;6;5.50;4.75;4.75;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
43000098;7.20;7.50;5.25;5;7.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
43000099;7.80;7;6.25;7.25;6.50;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
43000100;7.80;7;-1;-1;-1;7.25;8.50;10;8.80;-1;-1;-1;-1;-1;
43000101;8.40;6.25;8.25;3.50;7.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
43000102;7.20;6.50;-1;-1;-1;6.50;7.75;9.50;5.20;-1;-1;-1;-1;-1;
43000103;8;6.25;6.75;6.50;3;-1;-1;-1;5;-1;-1;-1;-1;-1;
43000104;7.40;5.75;-1;-1;-1;8;8.25;9.25;7.20;-1;-1;-1;-1;-1;
43000105;4.80;6.50;-1;-1;-1;3.75;7.25;8.75;6.60;-1;-1;-1;-1;-1;
43000106;4.40;5.75;-1;-1;-1;5;7.75;8.75;5;-1;-1;-1;-1;-1;
43000107;7.80;6.25;-1;-1;-1;6.50;8.25;8.75;7;-1;-1;-1;-1;-1;
43000108;7.80;5;5.50;6;5;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
43000109;6;8.25;-1;-1;-1;9.50;9.75;9;6.60;-1;-1;-1;-1;-1;
43000110;7.80;5.75;7.25;7.50;6.50;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
43000111;8;7.50;6.50;8.50;9.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
43000112;6.20;7;-1;-1;-1;4.25;7;8.50;5.20;-1;-1;-1;-1;-1;
43000113;6.40;8.50;-1;-1;-1;8;8.25;9.75;8.80;-1;-1;-1;-1;-1;
43000114;7.40;7;-1;-1;-1;9.50;9.50;10;8.20;-1;-1;-1;-1;-1;
43000115;7.40;6.50;5.75;7;5;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
43000116;8.40;6.75;7;7.75;7.25;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
43000117;6.20;5.75;-1;-1;-1;5.75;6.50;7;5.40;-1;-1;-1;-1;-1;
43000118;9;6.75;8.50;3.50;5;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
43000119;5;6.50;-1;-1;-1;3;6.25;7;3.40;-1;-1;-1;-1;-1;
43000120;7.80;8.25;6.75;3.25;5.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
43000121;5.80;5.50;5.50;5.75;4.75;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
43000122;7.80;7;5.25;6.75;7.75;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
43000123;7.40;6.25;-1;-1;-1;4.75;6.75;7.75;8.80;-1;-1;-1;-1;-1;
43000124;8;7.25;7;4.25;7.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
43000125;5;6;-1;-1;-1;4.25;6.25;7.50;5.40;-1;-1;-1;-1;-1;
43000126;6.80;6.50;-1;-1;-1;6.50;6.75;9.25;7.20;-1;-1;-1;-1;-1;
43000127;6.80;5.75;-1;-1;-1;7.25;7.25;8.75;4.80;-1;-1;-1;-1;-1;
43000128;8.80;5.50;8;8;5;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
43000129;5.40;4.25;-1;-1;-1;4.75;7;7.50;5;-1;-1;-1;-1;-1;
43000130;6.60;8.25;-1;-1;-1;7;7.50;9.75;7.20;-1;-1;-1;-1;-1;
43000131;5;6.50;-1;-1;-1;5.75;8;7.75;6;-1;-1;-1;-1;-1;
43000132;7.80;6.50;6.50;7;7;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
43000133;5.80;5.50;-1;-1;-1;3;7.50;8.50;4.60;-1;-1;-1;-1;-1;
43000134;7.40;6.50;-1;-1;-1;4.25;7.75;7.75;5;-1;-1;-1;-1;-1;
43000135;7.40;7.50;-1;-1;-1;5;8;8.25;8.20;-1;-1;-1;-1;-1;
43000136;7;6.25;-1;-1;-1;5.25;6.50;8;5.60;-1;-1;-1;-1;-1;
43000137;6.80;5.50;8.75;3.25;4.75;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
43000138;7.80;5;4.75;5.50;6;-1;-1;-1;8;-1;-1;-1;-1;-1;
43000139;7.60;4.50;5.75;5.25;7;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
