SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
35000001;8;6.75;5;3.25;3.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
35000002;6.60;6.75;5.50;4.50;4.50;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
35000003;8.20;8.75;6;6.25;5.75;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
35000004;8.20;7.75;-1;-1;-1;6.50;8;9.25;4.80;-1;-1;-1;-1;-1;
35000005;5.40;6.75;-1;-1;-1;2.75;4.50;8;3.20;-1;-1;-1;-1;-1;
35000006;6.20;5.50;-1;-1;-1;3.75;6.25;8;3;-1;-1;-1;-1;-1;
35000007;8;7;6;6;4;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
35000008;9;5.25;7.50;7.50;4.75;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
35000009;7.40;8.50;-1;-1;-1;4.25;6.50;9.25;5.40;-1;-1;-1;-1;-1;
35000010;7.20;6.25;-1;-1;-1;3.75;6;7.50;4.20;-1;-1;-1;-1;-1;
35000011;3.40;6;-1;-1;-1;3.50;6.50;6.75;3.40;-1;-1;-1;-1;-1;
35000012;6.40;6;4;7.25;4;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
35000013;4;6.25;-1;-1;-1;3;6.50;8.25;3;-1;-1;-1;-1;-1;
35000014;5;7.25;4.25;6;5;-1;-1;-1;4;-1;-1;-1;-1;-1;
35000015;8;9;-1;-1;-1;7.50;9.75;8.75;4.60;-1;-1;-1;-1;-1;
35000016;8.40;6.75;7.75;6.75;5.50;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
35000017;6.40;7;5.50;4.75;5.25;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
35000018;6.40;7;-1;-1;-1;4.25;6;7.25;3.60;-1;-1;-1;-1;-1;
35000019;8.40;6;7;7.25;6.50;-1;-1;-1;2.60;-1;-1;-1;-1;-1;
35000020;6;6;-1;-1;-1;3.50;6;7.25;3.60;-1;-1;-1;-1;-1;
35000021;8;7.75;8.75;5.25;5.75;-1;-1;-1;10;-1;-1;-1;-1;-1;
35000023;7.40;7.25;5.50;6.25;3.75;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
35000024;8.80;7.75;7.75;6.75;4;-1;-1;-1;10;-1;-1;-1;-1;-1;
35000025;9.20;7.50;7.75;8.25;5.25;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
35000026;6.20;6.75;-1;-1;-1;5.50;7;7.50;3.20;-1;-1;-1;-1;-1;
35000027;7.20;7;6.75;4.25;3.75;-1;-1;-1;4;-1;-1;-1;-1;-1;
