SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
26000001;7;7;-1;-1;-1;8.25;8.75;8.75;6.40;-1;-1;-1;-1;-1;
26000002;6.40;7.25;-1;-1;-1;5.25;6.25;-1;8.80;-1;-1;-1;-1;-1;
26000003;8.60;7.50;-1;-1;-1;3.50;8.25;7.50;9;-1;-1;-1;-1;-1;
26000004;6;8;-1;-1;-1;6.25;7.25;9.50;7;-1;-1;-1;-1;-1;
26000005;2.40;3.75;-1;-1;-1;3;5.50;-1;-1;-1;-1;-1;-1;-1;
26000006;9.20;7;8;9.25;9.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
26000007;8.40;8.50;-1;-1;-1;5.75;8.50;9.50;9.60;-1;-1;-1;-1;-1;
26000008;8;8.50;-1;-1;-1;4.25;6;8.50;9;-1;-1;-1;-1;-1;
26000009;6.80;5.25;-1;-1;-1;5.25;6.50;-1;6;-1;-1;-1;-1;-1;
26000010;3.60;4;-1;-1;-1;5.75;7.25;-1;-1;-1;-1;-1;-1;-1;
26000011;6.60;7.75;-1;-1;-1;6.25;8.25;9.75;9;-1;-1;-1;-1;-1;
26000012;8.80;4.50;7.25;4.25;6.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
26000013;8.60;8.75;-1;-1;-1;3;7.50;9.25;9.40;-1;-1;-1;-1;-1;
26000014;8.60;4.75;7.75;4.75;6;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
26000015;9;8.25;-1;-1;-1;7;8.25;10;9.60;-1;-1;-1;-1;-1;
26000016;3.80;2.75;-1;-1;-1;1.25;5.50;-1;-1;-1;-1;-1;-1;-1;
26000017;8;8;6.25;6;4;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
26000018;8.60;4.25;8.25;8;3;-1;-1;-1;9;-1;-1;-1;-1;-1;
26000019;8.20;7;5.25;6.75;4.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
26000020;8.60;9;-1;-1;-1;6.75;7.25;9.50;9;-1;-1;-1;-1;-1;
26000021;6;6.25;-1;-1;-1;2;7.25;-1;-1;-1;-1;-1;-1;-1;
26000022;6.60;6.25;-1;-1;-1;2.50;6.75;-1;-1;-1;-1;-1;-1;-1;
26000023;8.40;8.25;7;8;8.25;-1;-1;-1;7;-1;-1;-1;-1;-1;
26000024;7;8;-1;-1;-1;10;9.25;8.75;6.80;-1;-1;-1;-1;-1;
26000025;6;5.75;-1;-1;-1;6.75;6;-1;-1;-1;-1;-1;-1;-1;
26000026;9;7.75;8;6.75;6.25;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
26000027;7.20;6.75;3.50;3;2.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
26000028;9;8.75;-1;-1;-1;5.50;7.50;9.25;9.80;-1;-1;-1;-1;-1;
26000029;8.60;7.50;8.75;8.75;5.50;-1;-1;-1;9;-1;-1;-1;-1;-1;
26000030;6.80;7.50;-1;-1;-1;9.50;9.75;9.50;6.60;-1;-1;-1;-1;-1;
26000031;8.80;8;6.50;8.25;8.25;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
26000032;3.40;2;-1;-1;-1;1.50;3.75;-1;-1;-1;-1;-1;-1;-1;
26000033;2.40;4.75;-1;-1;-1;3.50;5.50;-1;-1;-1;-1;-1;-1;-1;
26000034;8;7.50;-1;-1;-1;7.50;8.25;9.25;9.40;-1;-1;-1;-1;-1;
26000035;2.60;4.50;-1;-1;-1;1.75;6.50;-1;-1;-1;-1;-1;-1;-1;
26000036;8.40;7.25;-1;-1;-1;7.50;6.75;9;9.60;-1;-1;-1;-1;-1;
26000037;9;8;-1;-1;-1;7.75;7.25;9.25;9.20;-1;-1;-1;-1;-1;
26000038;5.20;5.75;-1;-1;-1;5.50;6.50;-1;-1;-1;-1;-1;-1;-1;
26000039;7.60;6.50;-1;-1;-1;5.50;8.25;-1;5.60;-1;-1;-1;-1;-1;
26000040;7.40;8.25;-1;-1;-1;5.25;7.25;10;9.20;-1;-1;-1;-1;-1;
26000041;7.60;7;-1;-1;-1;3.50;7;7.50;8.60;-1;-1;-1;-1;-1;
26000042;9;8.50;-1;-1;-1;6.75;8.25;9.50;9.80;-1;-1;-1;-1;-1;
26000043;8.40;8;8.50;8.25;5.50;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
26000044;8.60;8.50;-1;-1;-1;6.75;8;7.50;9.80;-1;-1;-1;-1;-1;
26000045;6;6.75;-1;-1;-1;2.75;5.75;-1;6;-1;-1;-1;-1;-1;
26000046;8.20;8.75;-1;-1;-1;6.75;8.50;9;9.60;-1;-1;-1;-1;-1;
26000047;7.60;8;-1;-1;-1;5.75;8;7.50;9.60;-1;-1;-1;-1;-1;
26000048;8.80;8;-1;-1;-1;7.50;9;9.75;9.20;-1;-1;-1;-1;-1;
26000049;7.20;5;-1;-1;-1;4.50;5.50;-1;4.20;-1;-1;-1;-1;-1;
26000050;8.40;8.75;-1;-1;-1;6;7;9.25;9.60;-1;-1;-1;-1;-1;
26000051;5.80;5.25;-1;-1;-1;3;6.75;-1;6.20;-1;-1;-1;-1;-1;
26000052;1.80;2.75;-1;-1;-1;4;6.25;-1;-1;-1;-1;-1;-1;-1;
26000053;8.60;7.25;4.50;8.25;8.50;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
26000054;8;7;-1;-1;-1;8;8;-1;-1;-1;-1;-1;-1;-1;
26000055;4.20;5.75;-1;-1;-1;3.75;6.25;-1;-1;-1;-1;-1;-1;-1;
26000056;8.60;8.25;-1;-1;-1;7.75;7.50;9.25;10;-1;-1;-1;-1;-1;
26000057;7;8.50;-1;-1;-1;5.75;7.50;8.25;9.20;-1;-1;-1;-1;-1;
26000058;9;7.75;8;9;4.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
26000059;6.20;5;-1;-1;-1;4.75;6.25;-1;3.20;-1;-1;-1;-1;-1;
26000060;3.80;5.75;-1;-1;-1;2.25;5.50;-1;-1;-1;-1;-1;-1;-1;
26000061;3.20;6;-1;-1;-1;3.50;6.25;-1;-1;-1;-1;-1;-1;-1;
26000062;7.40;8.25;-1;-1;-1;7;7;8.50;8;-1;-1;-1;-1;-1;
26000063;5.40;6.25;-1;-1;-1;6.25;7.50;-1;-1;-1;-1;-1;-1;-1;
26000064;3.80;5.50;-1;-1;-1;4;6.50;-1;6.60;-1;-1;-1;-1;-1;
26000065;8.60;6.50;8.25;8.75;4.75;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
26000066;9.40;5.75;5.50;8.75;9.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
26000067;6;7.50;-1;-1;-1;9.25;9;9.25;9.40;-1;-1;-1;-1;-1;
26000068;8.40;8.50;-1;-1;-1;8.50;9;9.25;9.20;-1;-1;-1;-1;-1;
26000069;9.20;7.50;8.50;9;5.50;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
26000070;2;2.25;-1;-1;-1;3;3.25;-1;-1;-1;-1;-1;-1;-1;
26000071;8.20;7.75;6.75;8;6.50;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
26000072;9.20;8.25;-1;-1;-1;6;6;8.75;10;-1;-1;-1;-1;-1;
26000073;4.40;5;-1;-1;-1;2.25;7.75;-1;-1;-1;-1;-1;-1;-1;
26000074;8;7.75;-1;-1;-1;8;8.50;9.50;8.80;-1;-1;-1;-1;-1;
26000075;8.60;8;-1;-1;-1;8.75;8.75;9.75;9.80;-1;-1;-1;-1;-1;
26000076;8.60;7;7.75;8.50;7;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
26000077;8.60;7.75;-1;-1;-1;4.75;6.75;8;9.20;-1;-1;-1;-1;-1;
26000078;6.40;5.75;4.50;2.50;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;
26000079;8.80;8;6;9;9.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
26000080;8;8.75;-1;-1;-1;3.50;7;8.25;8;-1;-1;-1;-1;-1;
26000081;3.40;6;-1;-1;-1;3.25;5.25;-1;-1;-1;-1;-1;-1;-1;
26000082;9.20;8;6.75;8;4;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
26000083;9.20;8.75;6.75;9.50;8.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
