SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
33000001;6.40;4.50;-1;-1;-1;6.50;7.50;7.75;3;-1;-1;-1;-1;-1;
33000002;8.40;9.25;-1;-1;-1;6;8;9.25;7;-1;-1;-1;-1;-1;
33000003;6.80;6.50;-1;-1;-1;5;6.75;9.25;8.60;-1;-1;-1;-1;-1;
33000004;6.20;8;-1;-1;-1;4;7;9;8.60;-1;-1;-1;-1;-1;
33000005;4.60;7.25;-1;-1;-1;5.25;7.25;-1;-1;-1;-1;-1;-1;-1;
33000006;8.20;8;-1;-1;-1;6;8.50;9;8;-1;-1;-1;-1;-1;
33000007;5.60;7;-1;-1;-1;5;8;7.75;7.60;-1;-1;-1;-1;-1;
33000008;7.20;6.50;-1;-1;-1;4.75;8;9.50;2.80;-1;-1;-1;-1;-1;
33000009;8.40;4.50;6.50;6.75;4.25;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
33000010;4.60;6.75;-1;-1;-1;5.25;6.25;8;2.20;-1;-1;-1;-1;-1;
33000011;6.80;6;-1;-1;-1;6.75;7.50;9;4.60;-1;-1;-1;-1;-1;
33000012;4.80;6.25;-1;-1;-1;3.25;7;7.75;3;-1;-1;-1;-1;-1;
33000013;7.40;6.75;5.75;7.75;2.75;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
33000014;6.20;6;-1;-1;-1;3.50;4.75;8.50;3.40;-1;-1;-1;-1;-1;
33000015;5.80;5.25;-1;-1;-1;3.50;8.25;8;4.60;-1;-1;-1;-1;-1;
33000016;8;8.50;-1;-1;-1;9;8;9.75;9.80;-1;-1;-1;-1;-1;
33000017;7.60;5;-1;-1;-1;5.25;7;9;2.20;-1;-1;-1;-1;-1;
33000018;7.20;6.25;-1;-1;-1;6.50;8.25;9.25;2.60;-1;-1;-1;-1;-1;
33000019;7.80;7.50;-1;-1;-1;3.25;6.25;6.75;5.80;-1;-1;-1;-1;-1;
33000020;7.20;8;-1;-1;-1;5.75;8;8.75;5.60;-1;-1;-1;-1;-1;
33000021;6.60;6.75;-1;-1;-1;4.25;6.75;8.50;7;-1;-1;-1;-1;-1;
33000022;8.40;8;-1;-1;-1;4.25;7;9.25;8.40;-1;-1;-1;-1;-1;
33000023;8.40;7.25;4.75;8.50;7.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
33000024;7.40;7;-1;-1;-1;3.50;6.75;7.75;7.60;-1;-1;-1;-1;-1;
33000025;5.20;3.50;-1;-1;-1;2.75;5.75;8;3.20;-1;-1;-1;-1;-1;
33000026;6.80;7.25;-1;-1;-1;3.50;5.25;7.50;5.20;-1;-1;-1;-1;-1;
33000027;9;8.75;-1;-1;-1;6;7.50;9.25;9.60;-1;-1;-1;-1;-1;
33000028;7.80;7;-1;-1;-1;4;6.25;7;6.80;-1;-1;-1;-1;-1;
33000029;4;5.50;-1;-1;-1;4.25;6;8.25;3.20;-1;-1;-1;-1;-1;
33000030;4.80;5.75;-1;-1;-1;3.25;6.25;8.25;2.60;-1;-1;-1;-1;-1;
33000031;5.60;6.50;-1;-1;-1;5.75;7.25;8.75;6.60;-1;-1;-1;-1;-1;
33000032;4;4;-1;-1;-1;3.50;5.75;6.25;2.60;-1;-1;-1;-1;-1;
33000033;7.20;6.25;-1;-1;-1;5.50;6.75;9.50;4.60;-1;-1;-1;-1;-1;
33000034;4.20;7;-1;-1;-1;4.75;5.25;6.75;3.60;-1;-1;-1;-1;-1;
33000035;9.20;6.75;7.25;8.50;4.25;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
33000036;8;6.75;5.50;8.25;6;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
33000037;7.80;8.50;-1;-1;-1;4.50;7.75;8.25;9;-1;-1;-1;-1;-1;
33000038;5.40;5.50;-1;-1;-1;3.75;7;7.50;4.20;-1;-1;-1;-1;-1;
33000039;5.20;6;-1;-1;-1;3.25;6.50;6.75;2.20;-1;-1;-1;-1;-1;
33000040;8;7.25;4.75;7.25;7.25;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
33000041;8.60;5.50;8.75;7.50;3;-1;-1;-1;6;-1;-1;-1;-1;-1;
33000042;7;5.25;6.75;4.25;3.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
33000043;4.20;5.75;-1;-1;-1;3.75;6.75;8.75;3.20;-1;-1;-1;-1;-1;
33000044;4;6;-1;-1;-1;3.75;7.75;8;2.60;-1;-1;-1;-1;-1;
33000045;8.60;6;7.25;7.50;5.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
33000046;6.40;4.25;-1;-1;-1;4;6.75;9.25;3.20;-1;-1;-1;-1;-1;
33000047;7;5.50;-1;-1;-1;4;6.50;8.50;3.80;-1;-1;-1;-1;-1;
33000048;6;5;-1;-1;-1;5.25;6.75;8.50;5.80;-1;-1;-1;-1;-1;
33000049;7.60;5.25;4.25;8.25;8.50;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
33000050;3.60;6;-1;-1;-1;2;5.25;7.25;5.20;-1;-1;-1;-1;-1;
33000051;5.20;7;-1;-1;-1;5;6.75;8;3.40;-1;-1;-1;-1;-1;
33000052;5.40;4;-1;-1;-1;3.75;6.50;8.75;4.60;-1;-1;-1;-1;-1;
33000053;5.40;4.75;-1;-1;-1;1.75;6.25;5.75;1.80;-1;-1;-1;-1;-1;
