SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
8000001;6.60;3.75;-1;-1;-1;7.50;7.50;9.50;-1;-1;-1;3.80;-1;-1;
8000002;7.20;8;6.50;5.50;7.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
8000003;7;6.50;3.25;5.25;7.25;-1;-1;-1;5;-1;-1;-1;-1;-1;
8000004;6.40;6.25;-1;-1;-1;5.50;8;8.50;4.80;-1;-1;-1;-1;-1;
8000005;6;5;4;4.75;4.25;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
8000006;8.60;8;8;7.75;8;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
8000007;7.80;5;-1;-1;-1;5.50;7;9;3.40;-1;-1;-1;-1;-1;
8000008;5.80;7;-1;-1;-1;4.25;7.50;9.50;5;-1;-1;-1;-1;-1;
8000009;5.80;3.75;-1;-1;-1;3.50;5.50;7.25;3;-1;-1;-1;-1;-1;
8000010;6.80;6.75;4.75;5.75;5.25;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
8000011;4.40;6.50;4;4.50;5.50;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
8000012;7.40;6.75;-1;-1;-1;7;7.50;9;6.40;-1;-1;-1;-1;-1;
8000013;5;6.75;-1;-1;-1;5.25;5;8.25;3.40;-1;-1;-1;-1;-1;
8000014;7;7.75;-1;-1;-1;8.50;8.50;9.50;3.80;-1;-1;-1;-1;-1;
8000015;7;6;4.25;8;6.50;-1;-1;-1;4;-1;-1;-1;-1;-1;
8000016;4.60;6;-1;-1;-1;5.25;8.75;-1;-1;-1;-1;-1;-1;-1;
8000017;8.80;7.75;7;7.50;7.25;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
8000018;7.40;7;4;6;5.25;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
8000019;8.60;7.75;8.25;7.50;7.25;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
8000020;4.80;7.75;-1;-1;-1;4.75;6.75;9.75;4;-1;-1;-1;-1;-1;
8000021;7.80;6.75;-1;-1;-1;8;8.75;10;6.80;-1;-1;-1;-1;-1;
8000022;7.20;7;-1;-1;-1;6.25;7.50;9.50;4.60;-1;-1;-1;-1;-1;
8000023;7.40;7;4.50;5.75;5.25;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
8000024;6.60;7.50;-1;-1;-1;7.25;6.75;8.50;4.60;-1;-1;-1;-1;-1;
8000025;7.40;8.25;4.50;3.50;5.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
8000026;6;7.25;-1;-1;-1;3.75;7.50;8.25;2.40;-1;-1;-1;-1;-1;
8000027;6;5;4.75;5;7.25;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
8000028;4.80;5;-1;-1;-1;3.75;8.50;7;3.40;-1;-1;-1;-1;-1;
8000029;7.80;6;7.25;7.50;8.75;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
8000030;8;7.25;7.25;8;5;-1;-1;-1;5;-1;-1;-1;-1;-1;
8000031;7.40;7.50;7;6.75;6;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
8000032;9;8;5.25;6.75;7.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
8000033;8.40;5.25;8.25;8.50;7.50;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
8000034;8;6;-1;-1;-1;6.25;8;9.75;5;-1;-1;-1;-1;-1;
8000035;5;3;-1;-1;-1;2.50;5.50;7.75;-1;-1;-1;4;-1;-1;
8000036;6.20;6.75;-1;-1;-1;4.75;6;9.25;6.40;-1;-1;-1;-1;-1;
8000037;7.40;8.50;4.50;4.50;5.25;-1;-1;-1;7;-1;-1;-1;-1;-1;
8000038;6.60;7.25;4.50;6.50;5.50;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
8000039;5.60;6.25;-1;-1;-1;3.50;6.25;8.75;3.80;-1;-1;-1;-1;-1;
8000040;5.80;6.75;-1;-1;-1;5.50;6.75;9;-1;-1;-1;3.60;-1;-1;
8000041;4;7;-1;-1;-1;2.50;4;8;3.60;-1;-1;-1;-1;-1;
8000042;7.60;7.50;5.25;7.50;7;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
8000043;3;2;-1;-1;-1;3;7.25;-1;-1;-1;-1;-1;-1;-1;
8000044;8.60;6.25;-1;-1;-1;4.75;7.75;10;4.20;-1;-1;-1;-1;-1;
8000045;4;2;-1;-1;-1;3.25;7.50;-1;-1;-1;-1;-1;-1;-1;
8000046;6.60;4.75;-1;-1;-1;6.50;8.50;10;4.60;-1;-1;-1;-1;-1;
8000047;6.20;7;-1;-1;-1;6.50;6.50;9.75;5;-1;-1;-1;-1;-1;
8000048;7;7;-1;-1;-1;7.50;8;9.50;6.20;-1;-1;-1;-1;-1;
8000049;6.40;5.25;-1;-1;-1;6.25;7.75;9.75;-1;-1;-1;4.40;-1;-1;
8000050;6;5.75;-1;-1;-1;8.25;8.25;9.50;-1;-1;-1;6.60;-1;-1;
8000051;3.80;4;-1;-1;-1;4;4.75;-1;-1;-1;-1;-1;-1;-1;
8000052;4;4.25;-1;-1;-1;3.50;5.75;-1;-1;-1;-1;-1;-1;-1;
8000053;6.40;5.75;-1;-1;-1;5.75;7.75;-1;-1;-1;-1;-1;-1;-1;
8000054;4.60;4.25;-1;-1;-1;5.25;7.25;-1;-1;-1;-1;-1;-1;-1;
8000055;7.60;7;-1;-1;-1;8.25;7.75;9.50;-1;-1;-1;7.40;-1;-1;
8000056;2.60;3.75;-1;-1;-1;4;4.75;-1;-1;-1;-1;-1;-1;-1;
8000058;9.20;8.50;8;8.75;8;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
8000059;7.80;7.25;-1;-1;-1;7.25;9;9.50;8.20;-1;-1;-1;-1;-1;
8000060;6;6.75;-1;-1;-1;3;6.75;9.25;4.20;-1;-1;-1;-1;-1;
8000061;6.80;7.25;-1;-1;-1;5.50;8.50;9.75;-1;-1;-1;6.20;-1;-1;
