SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
4000001;7.80;8;2.50;5;4.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
4000002;9;6.25;8.25;7;7.25;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
4000003;8.60;6.25;7.50;8;5.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
4000004;9;6.50;8;9;6.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
4000005;7.80;7;-1;-1;-1;2.50;6.50;7;9;-1;-1;-1;-1;-1;
4000006;6;4;3.50;4.75;4.75;-1;-1;-1;2.40;-1;-1;-1;-1;-1;
4000007;9;6;7.50;8.25;4.50;-1;-1;-1;6;-1;-1;-1;-1;-1;
4000008;8;5.75;5.75;9;7.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
4000009;6.40;7.75;-1;-1;-1;3.50;7.50;9.75;4;-1;-1;-1;-1;-1;
4000010;8.20;5.75;8;9;4.25;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
4000011;8.20;6;4.25;8.50;10;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
4000012;7.60;6.25;5.75;7.25;5;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
4000013;5.60;7.50;-1;-1;-1;6.50;7;9.25;5.20;-1;-1;-1;-1;-1;
4000014;7.80;7.25;-1;-1;-1;3.25;5.75;8;5.40;-1;-1;-1;-1;-1;
4000015;4.80;7.25;-1;-1;-1;2.75;6;8.50;7.20;-1;-1;-1;-1;-1;
4000016;6.80;6.50;-1;-1;-1;5.75;7;8;6;-1;-1;-1;-1;-1;
4000017;8.80;6;6;8.25;4.75;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
4000018;5.80;6;-1;-1;-1;3.50;6;9.50;4.60;-1;-1;-1;-1;-1;
4000019;8.20;7.25;-1;-1;-1;5.25;7.25;8;7;-1;-1;-1;-1;-1;
4000020;7.40;7.75;-1;-1;-1;4.75;6.50;7.50;7.80;-1;-1;-1;-1;-1;
4000021;6.80;5.25;5.50;7.25;6.50;-1;-1;-1;5;-1;-1;-1;-1;-1;
4000022;8;6.50;-1;-1;-1;7.25;7.75;9.25;7.40;-1;-1;-1;-1;-1;
4000023;5.40;3.50;-1;-1;-1;3.25;6.75;8.25;2.40;-1;-1;-1;-1;-1;
4000024;7.40;6;6;7;5.75;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
4000025;6;6.75;-1;-1;-1;3;5.50;8.75;4.80;-1;-1;-1;-1;-1;
4000026;8.40;8.25;-1;-1;-1;5.50;7.75;8.50;8.80;-1;-1;-1;-1;-1;
4000027;5.40;7.75;-1;-1;-1;3.25;5.75;6.50;9;-1;-1;-1;-1;-1;
4000028;4.80;7;-1;-1;-1;8.25;7.25;10;6;-1;-1;-1;-1;-1;
4000029;7.60;6.50;5;8;8.25;-1;-1;-1;6;-1;-1;-1;-1;-1;
4000030;7.40;6;-1;-1;-1;5.50;6.75;7.75;7.20;-1;-1;-1;-1;-1;
4000031;8;3.25;6.25;5.50;3.75;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
4000032;7.20;6.50;5.75;5;5.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
