SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
32000001;6.60;6.50;-1;-1;-1;7;7.50;7.25;3.40;-1;-1;-1;-1;-1;
32000002;6.60;4.25;5.50;7.25;4.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
32000003;5.80;-1;5.50;2.50;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
32000004;7.80;4;7;7.25;5.50;-1;-1;-1;-1;-1;-1;-1;-1;-1;
32000005;5.60;6;-1;-1;-1;3.50;6;7.50;5.60;-1;-1;-1;-1;-1;
32000006;6.80;6;-1;-1;-1;7.25;8.75;9.50;2.60;-1;-1;-1;-1;-1;
32000007;7;6.50;-1;-1;-1;6;7.50;8.50;4.20;-1;-1;-1;-1;-1;
32000008;4.40;5.75;-1;-1;-1;3;7;7.50;1.80;-1;-1;-1;-1;-1;
32000009;5;5.75;-1;-1;-1;6.50;7.50;9;4.60;-1;-1;-1;-1;-1;
32000010;6.60;4;-1;-1;-1;4;7.50;8.50;2.40;-1;-1;-1;-1;-1;
32000011;6;6.50;4;3.25;3.75;-1;-1;-1;8;-1;-1;-1;-1;-1;
32000012;6.60;4.25;-1;-1;-1;4.75;6;-1;-1;-1;-1;-1;-1;-1;
32000013;8.80;5.25;7.75;2.75;4.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
32000014;5.40;6.50;-1;-1;-1;7;7.25;9.25;3.80;-1;-1;-1;-1;-1;
32000015;6.20;6;4.25;4.75;3.75;-1;-1;-1;3.60;-1;-1;-1;-1;-1;
32000016;7.20;6.25;4.50;7.50;7.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
32000017;4.20;2.75;-1;-1;-1;2.50;6.25;5.50;3;-1;-1;-1;-1;-1;
32000018;5.60;5.75;-1;-1;-1;7.50;7.50;8.75;4.80;-1;-1;-1;-1;-1;
32000019;5.20;4.75;-1;-1;-1;4.50;6.50;6.75;3.60;-1;-1;-1;-1;-1;
32000020;8;6.75;-1;-1;-1;4.25;7;8.25;7.20;-1;-1;-1;-1;-1;
32000021;7;7;-1;-1;-1;1.75;6.25;7.75;6.80;-1;-1;-1;-1;-1;
32000022;7.80;7;7.75;4.25;4.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
32000023;8.60;5.50;8.75;7;5.50;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
32000024;6.80;7.50;-1;-1;-1;6.75;8.25;8.75;5.40;-1;-1;-1;-1;-1;
