SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
58000001;6.20;5.50;-1;-1;-1;4.50;6.25;8.50;4;-1;-1;-1;-1;-1;
58000002;5.80;6.75;-1;-1;-1;5.75;8;-1;-1;-1;-1;-1;-1;-1;
58000003;6.40;7.25;4.25;6.50;5.50;-1;-1;-1;9;-1;-1;-1;-1;-1;
58000004;5.40;5.75;-1;-1;-1;4.50;7.75;9.50;2.40;-1;-1;-1;-1;-1;
58000005;4.80;6.25;-1;-1;-1;5.75;7.50;-1;-1;-1;-1;-1;-1;-1;
58000006;6.80;6.50;4.50;6.25;5.25;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
58000007;8.40;6.25;6.50;7.75;7.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
58000008;8.40;7;8;7.50;7;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
58000009;7.40;7;7.50;6.75;7.50;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
58000010;5.60;6.75;5.25;6.50;7.25;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
58000011;4;6;-1;-1;-1;2;5.25;7;2.40;-1;-1;-1;-1;-1;
58000012;6;8;-1;-1;-1;4.25;7.75;9;4.60;-1;-1;-1;-1;-1;
58000013;5.80;7.50;-1;-1;-1;8.25;7.50;9.25;4.60;-1;-1;-1;-1;-1;
58000014;4.60;7.50;2.25;3.75;3.75;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
58000015;3.40;6.75;-1;-1;-1;3.75;7.25;-1;-1;-1;-1;-1;-1;-1;
58000016;8.60;7.25;-1;-1;-1;8.50;7.25;9.75;7.40;-1;-1;-1;-1;-1;
58000017;5.80;6.25;-1;-1;-1;5;7;8.75;5.80;-1;-1;-1;-1;-1;
58000018;6.80;6.50;-1;-1;-1;5;6.50;-1;-1;-1;-1;-1;-1;-1;
58000019;6.20;8;-1;-1;-1;7.50;8;8.75;6.20;-1;-1;-1;-1;-1;
58000021;3.80;6.50;-1;-1;-1;6;8.25;9;2.80;-1;-1;-1;-1;-1;
58000022;8;7;6.50;7.50;4.75;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
58000023;4.20;7;-1;-1;-1;6.25;8.25;9.25;3.20;-1;-1;-1;-1;-1;
58000024;5.20;7;-1;-1;-1;6.75;7.50;9.50;3.80;-1;-1;-1;-1;-1;
58000025;4;5;-1;-1;-1;3.50;6;8.50;2.60;-1;-1;-1;-1;-1;
58000026;6.80;6;6.50;7.25;6;-1;-1;-1;7;-1;-1;-1;-1;-1;
58000027;7.40;7.75;5.50;6.25;6;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
58000028;7.40;7.25;7;6.75;5;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
58000029;2;6.25;-1;-1;-1;2.50;6.50;8.25;3.60;-1;-1;-1;-1;-1;
58000030;6.80;4.25;-1;-1;-1;6.50;6.50;8.50;4;-1;-1;-1;-1;-1;
58000031;8;9;7.75;7.50;7;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
58000032;3;7;-1;-1;-1;3;5.25;-1;-1;-1;-1;-1;-1;-1;
58000033;6;6.75;-1;-1;-1;6.75;9;8.75;4;-1;-1;-1;-1;-1;
58000034;8.40;7;7.25;7;8.25;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
58000035;5.20;6;-1;-1;-1;3.25;7;8.25;3.80;-1;-1;-1;-1;-1;
58000036;5.80;7.50;-1;-1;-1;4;8;8;3.80;-1;-1;-1;-1;-1;
