SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
44000001;5.40;7.75;-1;-1;-1;5.75;7.75;9.50;6;-1;-1;-1;-1;-1;
44000002;3;6.50;-1;-1;-1;2;7.25;7.50;4.60;-1;-1;-1;-1;-1;
44000003;7.40;6.75;-1;-1;-1;2.50;6;7;7.40;-1;-1;-1;-1;-1;
44000004;9;6.75;8.75;8.50;7;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
44000005;7.80;7.75;-1;-1;-1;6.25;7.50;8.25;9;-1;-1;-1;-1;-1;
44000006;7.40;6.50;-1;-1;-1;8;8.75;-1;-1;-1;-1;-1;-1;-1;
44000007;9.20;7.25;9;9.25;6.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
44000008;7.80;7.75;-1;-1;-1;4.50;7.75;6.75;9;-1;-1;-1;-1;-1;
44000009;8.20;7.25;4;7.25;6;-1;-1;-1;7;-1;-1;-1;-1;-1;
44000010;8;6.25;7.75;6.50;7.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000011;7.20;7;-1;-1;-1;5.25;7.25;9.25;9.20;-1;-1;-1;-1;-1;
44000012;6.40;6.50;4.50;5.50;4.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000014;8;7.50;7.50;7.50;7.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000015;8.60;8.25;-1;-1;-1;8.25;-1;-1;9;-1;-1;-1;-1;-1;
44000016;8.60;7.25;8.50;8;7.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
44000017;6.20;6.25;-1;-1;-1;4.75;7;-1;-1;-1;-1;-1;-1;-1;
44000018;6.80;6.75;-1;-1;-1;4.25;7.75;8.75;3.80;-1;-1;-1;-1;-1;
44000019;9;7.75;7.50;7.75;7.75;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
44000021;5;6;-1;-1;-1;6;7.50;7.75;8.60;-1;-1;-1;-1;-1;
44000022;8;7.50;5.75;7.75;7.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
44000023;8.20;7.75;7.75;8.50;8.50;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
44000024;8.20;7;5.50;8.75;5.25;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
44000025;7.60;6.50;-1;-1;-1;4.75;6.50;-1;-1;-1;-1;-1;-1;-1;
44000026;7.80;8.50;-1;-1;-1;8;8.50;9;8.40;-1;-1;-1;-1;-1;
44000027;9;8.50;8;6.75;5.25;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000028;9;8.50;-1;-1;-1;7;8;9.25;9.60;-1;-1;-1;-1;-1;
44000029;8.40;8;6.50;7;5.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000030;6.60;7.75;-1;-1;-1;7.50;8.25;9.75;6.40;-1;-1;-1;-1;-1;
44000031;8;7.25;-1;-1;-1;7.25;9;9.50;8.20;-1;-1;-1;-1;-1;
44000032;7.40;7.25;6.50;5.50;4.75;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
44000033;7.60;9;6.25;7.75;6.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000034;7.40;7.50;5.50;6.75;6.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
44000035;6.60;6.75;4.75;7;4;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
44000036;7;6.75;6.50;7.25;7.75;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
44000037;8;6.25;7.50;7;3.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
44000038;8.80;6.75;8;6.50;6.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000039;6.80;5.50;-1;-1;-1;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
44000040;5.20;7;-1;-1;-1;6.75;8;9.75;6.60;-1;-1;-1;-1;-1;
44000041;8.60;7.50;8;8;6;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
44000042;7.40;8.25;-1;-1;-1;9;9.25;10;8.40;-1;-1;-1;-1;-1;
44000043;8.80;7.75;8.25;8;7.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000044;8.20;7.75;8;6.25;6.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
44000045;6.80;8;4.25;4.50;5;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
44000046;4.40;6.50;-1;-1;-1;6.75;8.50;-1;-1;-1;-1;-1;-1;-1;
44000047;7;3.50;-1;-1;-1;4.25;6.50;8.50;7.20;-1;-1;-1;-1;-1;
44000049;8.80;8;8;8.50;6.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
44000050;7.80;7.25;-1;-1;-1;9;8.25;8.25;9;-1;-1;-1;-1;-1;
44000051;8.60;8.25;8;6.25;6.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000052;8.80;7.50;8;9;5.50;-1;-1;-1;9;-1;-1;-1;-1;-1;
44000053;8.80;7.50;8.75;9.50;7.50;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
44000054;8.20;7;-1;-1;-1;8.75;8.75;-1;-1;-1;-1;-1;-1;-1;
44000055;9;7.25;8.75;7.25;7.75;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
44000056;8.40;7;7.75;9.25;8;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000057;6.40;6.25;-1;-1;-1;3.75;6.25;7.25;5.40;-1;-1;-1;-1;-1;
44000058;6.20;7;-1;-1;-1;5.75;7.75;9.25;8.60;-1;-1;-1;-1;-1;
44000059;6.40;6.50;-1;-1;-1;3.25;7;8.75;7.20;-1;-1;-1;-1;-1;
44000060;7.20;7;7;5.50;5.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
44000061;7.40;7;-1;-1;-1;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
44000062;7.40;8.25;-1;-1;-1;6.50;7.25;10;9.20;-1;-1;-1;-1;-1;
44000063;6.40;7;-1;-1;-1;3.25;6.75;9.75;5.60;-1;-1;-1;-1;-1;
44000064;8.80;8;8;9.25;6;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
44000065;6.80;7;8.25;6;5.25;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
44000066;6.60;6.25;-1;-1;-1;5.75;6.75;-1;-1;-1;-1;-1;-1;-1;
44000067;6.40;6.50;-1;-1;-1;5.75;6.75;8.50;9.20;-1;-1;-1;-1;-1;
44000068;7.20;7;-1;-1;-1;6.25;7.50;9.25;7.60;-1;-1;-1;-1;-1;
44000069;9.20;6.50;9.25;6.50;7.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
44000070;7.80;8.75;-1;-1;-1;9;9.50;10;7.40;-1;-1;-1;-1;-1;
44000071;8.40;-1;7.25;7.75;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;
44000072;7.20;7;4.25;7.25;6.50;-1;-1;-1;8;-1;-1;-1;-1;-1;
44000073;6.40;6.75;-1;-1;-1;4.25;7;-1;-1;-1;-1;-1;-1;-1;
44000074;8.20;6.75;7.50;6.75;5.50;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000075;6.20;7;-1;-1;-1;3.50;6.75;9;5.80;-1;-1;-1;-1;-1;
44000076;8;7.50;7.75;6.75;7.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
44000077;8.20;7;-1;-1;-1;6.75;8.25;8.75;9.20;-1;-1;-1;-1;-1;
44000078;8.60;8;6.75;8.50;8.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000079;9;6.50;7.75;9;9.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
44000080;4.20;5.25;-1;-1;-1;4.50;8.25;-1;6.80;-1;-1;-1;-1;-1;
44000081;7.80;7.25;6.50;6.50;5.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
44000082;8.40;7.50;-1;-1;-1;4;8.25;8.25;5.80;-1;-1;-1;-1;-1;
44000083;5.40;6.25;-1;-1;-1;3.50;7.75;-1;-1;-1;-1;-1;-1;-1;
44000084;8.40;7.75;5;8.25;6.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
