SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
56000001;7;5.75;-1;-1;-1;5.50;7;8.50;6.20;-1;-1;-1;-1;-1;
56000002;6.80;6.75;6.50;5.75;5.25;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
56000003;5;6;-1;-1;-1;5.50;8.50;9.50;2.60;-1;-1;-1;-1;-1;
56000004;4.60;7.25;-1;-1;-1;5;7;8.75;6;-1;-1;-1;-1;-1;
56000005;5.60;5.50;-1;-1;-1;7.75;7;-1;-1;-1;-1;-1;-1;-1;
56000006;6.60;5.25;-1;-1;-1;4.50;7;8.25;3;-1;-1;-1;-1;-1;
56000007;7.20;6.25;5.75;7.50;5.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
56000008;7.60;-1;6.50;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
56000009;5.40;7;-1;-1;-1;6.50;7.75;-1;-1;-1;-1;-1;-1;-1;
56000010;5.20;8.50;-1;-1;-1;4;7.25;8;5.20;-1;-1;-1;-1;-1;
56000011;7.40;6.50;7.25;4.75;5;-1;-1;-1;8;-1;-1;-1;-1;-1;
56000012;4.60;6;-1;-1;-1;7.25;6.75;-1;-1;-1;-1;-1;-1;-1;
56000013;8.80;8.25;7.25;7.25;7.75;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
56000014;3.40;5.75;-1;-1;-1;4.25;6.25;-1;-1;-1;-1;-1;-1;-1;
56000015;6.20;7.25;4.25;5.50;5.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
56000016;8.40;8.50;-1;-1;-1;7.25;8.25;9.25;7.40;-1;-1;-1;-1;-1;
56000017;8.20;5.75;7;6.75;5.50;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
56000018;3;7;-1;-1;-1;6.25;7.75;7.75;3.80;-1;-1;-1;-1;-1;
56000019;7.20;7;-1;-1;-1;4;7.25;8.50;4.40;-1;-1;-1;-1;-1;
56000020;2;4.50;-1;-1;-1;4;6.25;-1;-1;-1;-1;-1;-1;-1;
56000021;8.40;4.25;6.75;7.25;5.25;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
56000022;6.60;6.50;-1;-1;-1;4.25;6.25;8.25;4;-1;-1;-1;-1;-1;
56000023;2;5;-1;-1;-1;6.75;8.50;-1;-1;-1;-1;-1;-1;-1;
56000024;7;3.50;-1;-1;-1;5.50;7;9;3;-1;-1;-1;-1;-1;
56000025;6.60;7;-1;-1;-1;5.50;7.25;9.25;6.80;-1;-1;-1;-1;-1;
56000026;9;7;-1;-1;-1;5.75;8;8.75;5.40;-1;-1;-1;-1;-1;
56000027;2.40;3;-1;-1;-1;3.25;5.25;-1;-1;-1;-1;-1;-1;-1;
56000028;7.80;8;6.25;7;6.25;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
56000029;5.20;5.25;-1;-1;-1;5.25;6;7.50;5;-1;-1;-1;-1;-1;
56000030;7;8;-1;-1;-1;6;6.75;8.25;3.80;-1;-1;-1;-1;-1;
56000031;7.20;5;-1;-1;-1;6;7.25;7;4.60;-1;-1;-1;-1;-1;
56000032;8;6.50;-1;-1;-1;5.25;6.75;9.25;7.60;-1;-1;-1;-1;-1;
56000033;7.80;7;-1;-1;-1;3.25;7.25;8;5;-1;-1;-1;-1;-1;
56000034;7;6.25;-1;-1;-1;5.75;6.50;9;7.20;-1;-1;-1;-1;-1;
56000035;7;5.25;-1;-1;-1;2.75;6.25;7.50;3.20;-1;-1;-1;-1;-1;
56000036;8;7.50;8.25;6.75;8.25;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
