SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
61000001;7.20;6.50;-1;-1;-1;5.75;8;10;3.80;-1;-1;-1;-1;-1;
61000002;6.80;6.25;-1;-1;-1;6;6.75;9;8.40;-1;-1;-1;-1;-1;
61000003;5.60;8.50;-1;-1;-1;6.25;7.50;9.50;6;-1;-1;-1;-1;-1;
61000004;6.60;7.75;-1;-1;-1;6.75;7.50;9.25;7.60;-1;-1;-1;-1;-1;
61000005;6.60;7;-1;-1;-1;5;9;9;8.40;-1;-1;-1;-1;-1;
61000006;7;6.75;-1;-1;-1;3.25;6.25;9.50;5;-1;-1;-1;-1;-1;
61000007;6.80;6.50;-1;-1;-1;5;6;7.75;4.20;-1;-1;-1;-1;-1;
61000008;7.20;6.25;5;5.25;6;-1;-1;-1;6;-1;-1;-1;-1;-1;
61000009;8.20;6.50;-1;-1;-1;4.75;6.25;9.50;7.80;-1;-1;-1;-1;-1;
61000010;2.60;5;-1;-1;-1;1.25;5.50;8.25;1.80;-1;-1;-1;-1;-1;
61000011;7.40;7.25;-1;-1;-1;7.50;7.50;9.25;9;-1;-1;-1;-1;-1;
61000012;6.80;5.75;-1;-1;-1;6;7.50;8.25;5.80;-1;-1;-1;-1;-1;
61000013;5.40;6.16;-1;-1;-1;3.50;7.50;9.25;4.40;-1;-1;-1;-1;-1;
61000014;5.20;4.50;-1;-1;-1;5;7.25;8;4.60;-1;-1;-1;-1;-1;
61000015;4.60;5.50;-1;-1;-1;4.25;6;8.75;1.80;-1;-1;-1;-1;-1;
61000016;8.80;9.25;6.25;9.25;9;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
61000017;6;4;-1;-1;-1;4.25;6.50;8.25;3.60;-1;-1;-1;-1;-1;
61000018;7.60;8.50;-1;-1;-1;3.25;7;9.50;8.60;-1;-1;-1;-1;-1;
61000019;7.80;8;7.75;7.25;5;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
61000020;8;8.50;5;7.50;4.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
61000021;5.80;6.75;-1;-1;-1;6.50;8;9;4.20;-1;-1;-1;-1;-1;
61000022;7.60;6.75;6.75;6.25;7.75;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
61000023;3.60;5.75;-1;-1;-1;3.25;6.25;6.75;4.60;-1;-1;-1;-1;-1;
61000024;4.20;6.25;-1;-1;-1;4.25;6.50;8.75;5.60;-1;-1;-1;-1;-1;
61000025;7.40;6.25;-1;-1;-1;5.25;8;9.75;5;-1;-1;-1;-1;-1;
61000026;2.60;5;-1;-1;-1;3;5.75;6;2.40;-1;-1;-1;-1;-1;
61000027;6;5.25;-1;-1;-1;5.25;7.75;8.25;2;-1;-1;-1;-1;-1;
61000028;5;5.41;5.25;3.25;2.50;-1;-1;-1;3.40;-1;-1;-1;-1;-1;
61000029;7.20;5.50;-1;-1;-1;4.75;6.50;8.25;5.20;-1;-1;-1;-1;-1;
61000030;6;5;-1;-1;-1;3.25;4.50;8;3.40;-1;-1;-1;-1;-1;
61000031;7;5;3.75;8.25;8.75;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
61000032;7.40;6;8.25;4.50;5.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
61000033;7.20;6;5.25;7.75;6.50;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
61000034;6.20;6.50;-1;-1;-1;4;6.75;8.75;6;-1;-1;-1;-1;-1;
61000035;7.20;7.25;6.50;8.25;6;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
61000036;5.20;5.50;-1;-1;-1;3.75;5;6.50;4;-1;-1;-1;-1;-1;
61000037;8.60;7;7.50;8.50;4;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
61000038;8.20;7.75;6.25;3.75;4.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
61000039;6.20;6.25;4.50;2.75;4.25;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
61000040;5.80;6.50;-1;-1;-1;6.25;6.50;9.75;3.20;-1;-1;-1;-1;-1;
61000041;7.80;7;5.50;7.50;6.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
61000042;4.80;4.50;-1;-1;-1;3.25;6;7;2.80;-1;-1;-1;-1;-1;
61000043;6;8.50;-1;-1;-1;7.25;8;9.50;7;-1;-1;-1;-1;-1;
61000044;7.20;5.75;4;6;6;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
61000045;6;7.75;-1;-1;-1;6.50;8.25;9.75;7;-1;-1;-1;-1;-1;
61000046;4.80;6;-1;-1;-1;6.50;7.75;9.25;5;-1;-1;-1;-1;-1;
61000047;6.20;7;-1;-1;-1;6;7.25;9.50;3.80;-1;-1;-1;-1;-1;
61000048;5.20;5.75;-1;-1;-1;3.75;7;9.50;2.40;-1;-1;-1;-1;-1;
61000049;6.80;7.50;-1;-1;-1;5.25;7.50;8.50;7.60;-1;-1;-1;-1;-1;
61000050;7.40;8.75;6.50;5.75;4.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
61000051;8.60;7;6.50;9;9.25;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
61000052;7.20;7.33;-1;-1;-1;3.75;7;9.25;3.20;-1;-1;-1;-1;-1;
61000053;7.20;7.25;5;6.75;5.50;-1;-1;-1;4;-1;-1;-1;-1;-1;
61000054;6.80;8.25;6;5.75;6.25;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
