SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
59000001;4.20;7.75;-1;-1;-1;5.25;5.25;-1;-1;-1;-1;-1;-1;-1;
59000002;8.80;8.50;8;7.75;8;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
59000003;3.60;7.25;-1;-1;-1;3.75;6.25;-1;-1;-1;-1;-1;-1;-1;
59000004;4.40;6.50;-1;-1;-1;2;7.50;-1;-1;-1;-1;-1;-1;-1;
59000005;9;7.75;6;9;9.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
59000006;3.20;5.50;-1;-1;-1;5.50;4.75;-1;-1;-1;-1;-1;-1;-1;
59000007;8.40;7;3.25;8.75;7.75;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
59000008;6.60;8.50;-1;-1;-1;8.75;7.50;9;8.60;-1;-1;-1;-1;-1;
59000009;8.40;7;6.75;5.50;5.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
59000010;9;8.50;6.75;8.25;8.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
59000011;8.40;8.25;-1;-1;-1;7.50;8;9.25;9.80;-1;-1;-1;-1;-1;
59000012;8.40;7.50;7.25;8.25;9;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
59000013;7.20;4.75;-1;-1;-1;7.25;7.75;-1;-1;-1;-1;-1;-1;-1;
59000014;2.20;7.25;-1;-1;-1;3.25;6.75;-1;-1;-1;-1;-1;-1;-1;
59000015;8.20;8.75;-1;-1;-1;9.25;8;7.50;6;-1;-1;-1;-1;-1;
59000016;3.80;6.75;-1;-1;-1;3.25;6;-1;-1;-1;-1;-1;-1;-1;
59000017;4.80;6.50;-1;-1;-1;3.50;6.50;-1;-1;-1;-1;-1;-1;-1;
59000018;3.20;6;-1;-1;-1;4;8.25;-1;-1;-1;-1;-1;-1;-1;
59000019;7.40;6.25;5.25;8;6;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000020;6.60;9;-1;-1;-1;7.25;5.75;9;8.60;-1;-1;-1;-1;-1;
59000021;7.80;8.50;-1;-1;-1;8.25;6.50;8.50;9.20;-1;-1;-1;-1;-1;
59000022;4.40;6;-1;-1;-1;3.25;7.25;-1;-1;-1;-1;-1;-1;-1;
59000023;9.20;6.25;6.50;8;9.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000024;7.60;8.75;-1;-1;-1;9.50;8.25;9.25;6.80;-1;-1;-1;-1;-1;
59000025;6.20;7.25;-1;-1;-1;4.50;6.25;-1;-1;-1;-1;-1;-1;-1;
59000026;5.80;7;3.50;7.25;5.50;-1;-1;-1;-1;-1;-1;-1;-1;-1;
59000027;3;5.75;-1;-1;-1;4.50;7;-1;-1;-1;-1;-1;-1;-1;
59000028;5.20;6.25;-1;-1;-1;6.25;6.50;-1;-1;-1;-1;-1;-1;-1;
59000029;8.40;8.25;5.50;7.25;7;-1;-1;-1;7;-1;-1;-1;-1;-1;
59000030;4.80;5;-1;-1;-1;5.50;8;-1;-1;-1;-1;-1;-1;-1;
59000031;7.20;9.25;6;5.25;3;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
59000032;8.40;7.25;6.75;8.50;6.50;-1;-1;-1;9;-1;-1;-1;-1;-1;
59000033;4.80;6;-1;-1;-1;5.75;5.75;-1;-1;-1;-1;-1;-1;-1;
59000034;3.20;5.50;-1;-1;-1;5;7.75;-1;-1;-1;-1;-1;-1;-1;
59000035;5.60;7.75;3.75;3.75;3.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
59000036;2.60;5.25;-1;-1;-1;2.25;6.25;-1;-1;-1;-1;-1;-1;-1;
59000037;8.40;7.75;7.75;7.50;6.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
59000038;6.60;5.75;-1;-1;-1;3.50;6;-1;-1;-1;-1;-1;-1;-1;
59000039;6.40;8.50;-1;-1;-1;5.25;6.25;9;8.20;-1;-1;-1;-1;-1;
59000040;8.60;4.75;5.75;6;5.25;-1;-1;-1;7;-1;-1;-1;-1;-1;
59000041;8;8;8;4.75;4.75;-1;-1;-1;9;-1;-1;-1;-1;-1;
59000042;8.40;8.25;7.75;6.75;7.50;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000043;8.80;7;7.75;7;7.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
59000044;9.20;8.25;-1;-1;-1;4.75;5.75;8;9.80;-1;-1;-1;-1;-1;
59000045;8.80;7.75;-1;-1;-1;8.50;7.75;9.50;9.40;-1;-1;-1;-1;-1;
59000046;2;-1;-1;-1;-1;4;5.75;-1;-1;-1;-1;-1;-1;-1;
59000047;7.80;8.50;-1;-1;-1;5.25;5.75;7.50;8.80;-1;-1;-1;-1;-1;
59000048;8.40;6;5.25;4.75;4.25;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
59000049;5.20;7;-1;-1;-1;5;6;-1;-1;-1;-1;-1;-1;-1;
59000050;8.60;6;7;5.50;5.50;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
59000051;2.20;3.50;-1;-1;-1;3.25;5;-1;-1;-1;-1;-1;-1;-1;
59000052;2.40;6;-1;-1;-1;3.25;5.75;-1;-1;-1;-1;-1;-1;-1;
59000053;8.80;8.50;6.50;6.75;5.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
59000054;8.80;8;-1;-1;-1;3.75;7.25;9.25;9;-1;-1;-1;-1;-1;
59000055;7.40;8.75;-1;-1;-1;4.25;6.25;8.25;8.80;-1;-1;-1;-1;-1;
59000056;8.40;8.25;8.25;5.75;5;-1;-1;-1;9;-1;-1;-1;-1;-1;
59000057;8;7.25;6.50;7.25;4.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
59000058;8.60;3.75;7.50;5.50;5.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000059;5.20;6.50;-1;-1;-1;6;7.50;-1;-1;-1;-1;-1;-1;-1;
59000060;8.80;6.75;8.25;9;4.75;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
59000061;9.20;8;9;9;7.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
59000062;2;4.50;-1;-1;-1;3.25;5.75;-1;-1;-1;-1;-1;-1;-1;
59000063;8.80;8;8;8.75;8.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000064;2.40;4.50;-1;-1;-1;3;6.25;-1;-1;-1;-1;-1;-1;-1;
59000065;9;7.50;7.50;9;9;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
59000066;8.20;6.75;7.25;6.50;6;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
59000067;9;8.50;7.50;8.25;7.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
59000068;2.60;6.75;-1;-1;-1;4.25;7;-1;-1;-1;-1;-1;-1;-1;
59000069;3.60;4.75;-1;-1;-1;4.25;5.25;-1;-1;-1;-1;-1;-1;-1;
59000070;8.60;7.50;8;8;5.25;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
59000071;8.40;8.75;4.75;6;6.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
