SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
12000001;4.60;5.50;-1;-1;-1;4;6;-1;-1;-1;-1;-1;-1;-1;
12000002;8;8;-1;-1;-1;8.50;7.75;9.50;9.80;-1;-1;-1;-1;-1;
12000003;8.60;6.50;5.75;8.50;8.75;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
12000004;8.20;6.25;6.50;6.25;4.50;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
12000005;9;5;8.25;8.75;6;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
12000006;8.40;8.75;-1;-1;-1;4.75;7.25;7.25;9.20;-1;-1;-1;-1;-1;
12000007;8.80;4.50;8.50;4.75;2.50;-1;-1;-1;8;-1;-1;-1;-1;-1;
12000008;8.60;4;8.25;8.50;5.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
12000009;9.20;3.75;8.75;8.75;4.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
12000010;6.60;7.75;-1;-1;-1;8.75;8.50;7.75;5.20;-1;-1;-1;-1;-1;
12000011;7.40;6;3;4.75;2.50;-1;-1;-1;5;-1;-1;-1;-1;-1;
12000012;8.40;6;8.25;8;7;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
12000013;7.20;6;7.50;8;5;-1;-1;-1;5;-1;-1;-1;-1;-1;
12000014;7.40;7.25;2.50;7.50;7.25;-1;-1;-1;3;-1;-1;-1;-1;-1;
12000015;9.20;4.50;7.75;8;5.75;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
12000016;3.20;6;-1;-1;-1;3.75;5.25;-1;-1;-1;-1;-1;-1;-1;
12000017;8.60;8.25;-1;-1;-1;5.75;6.50;9;9.40;-1;-1;-1;-1;-1;
12000018;2.80;5;-1;-1;-1;2;2.75;-1;-1;-1;-1;-1;-1;-1;
12000019;8.60;3.75;7.25;7.25;4.25;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
12000020;8.40;7.25;-1;-1;-1;5.50;7.75;9;7.20;-1;-1;-1;-1;-1;
12000021;6.20;7.50;-1;-1;-1;6.25;7.50;9;8.80;-1;-1;-1;-1;-1;
12000022;8.20;6;7.75;5.75;5.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
12000023;8.60;8.25;-1;-1;-1;6.25;7.75;8;9.60;-1;-1;-1;-1;-1;
12000024;8.20;6.50;6.75;7.75;4.75;-1;-1;-1;9;-1;-1;-1;-1;-1;
12000025;7.40;7.50;-1;-1;-1;3.25;5.50;6.50;8.40;-1;-1;-1;-1;-1;
12000026;7.80;6.25;6.75;7.25;3;-1;-1;-1;2.80;-1;-1;-1;-1;-1;
12000027;8.80;4.75;6.25;8.25;4.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
12000028;8.20;4.50;5.25;7.50;6.75;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
12000029;9.20;7.25;5;8.50;8;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
12000030;4.60;7.75;-1;-1;-1;7.25;7;-1;-1;-1;-1;-1;-1;-1;
12000031;3.80;7.50;-1;-1;-1;8.25;7.50;9;6.20;-1;-1;-1;-1;-1;
12000032;8.40;8.75;-1;-1;-1;8.75;8.50;9.75;9.60;-1;-1;-1;-1;-1;
12000033;7.40;7.75;-1;-1;-1;5;7.75;8.50;10;-1;-1;-1;-1;-1;
12000034;9;8.50;-1;-1;-1;6;8.25;9.75;10;-1;-1;-1;-1;-1;
12000035;6.20;7.75;-1;-1;-1;7.50;8.25;9.25;10;-1;-1;-1;-1;-1;
12000036;8.80;7.75;7.75;8;6;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
12000037;8.60;7.75;-1;-1;-1;6;7.25;9;8.60;-1;-1;-1;-1;-1;
12000038;7.40;7;5.25;8;8;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
12000039;8.60;6.75;7.25;8.75;9.25;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
12000040;7.40;8;-1;-1;-1;7.50;8.50;6.75;4.60;-1;-1;-1;-1;-1;
12000041;8.40;7.50;7.75;7.50;6;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
12000042;8.20;8.25;-1;-1;-1;7.50;7.75;8.25;-1;-1;-1;8.60;-1;-1;
12000043;2.60;5.75;-1;-1;-1;5.25;4.75;-1;-1;-1;-1;-1;-1;-1;
12000044;7.80;7.25;7.75;7.25;5.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
12000045;8.60;7.75;-1;-1;-1;3.75;7.25;8;9;-1;-1;-1;-1;-1;
12000046;8;7.75;8.50;8.25;5;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
12000047;5.80;7.50;-1;-1;-1;5;7;8.75;6.60;-1;-1;-1;-1;-1;
12000048;8;6.25;8.25;4;5.75;-1;-1;-1;8;-1;-1;-1;-1;-1;
12000049;6.40;7;-1;-1;-1;6.50;7.50;8.50;7.80;-1;-1;-1;-1;-1;
12000050;8.60;7.25;7.50;8.25;4.25;-1;-1;-1;10;-1;-1;-1;-1;-1;
12000051;8.80;4.75;8;7.50;4.75;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
12000052;8.60;3.50;7.75;8.25;2.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
12000053;7.80;4.75;7;7.75;1.75;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
12000054;3.20;6.50;-1;-1;-1;3;6.25;-1;-1;-1;-1;-1;-1;-1;
12000055;8.20;4;7.25;8;3;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
12000056;7;6.75;-1;-1;-1;2;6;6.50;-1;-1;-1;-1;-1;4.40;
12000057;7.40;5.50;5.50;6;4.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
12000058;8.40;9;-1;-1;-1;5.50;8;8.75;-1;-1;-1;-1;-1;-1;
12000059;8;7.50;-1;-1;-1;5.25;6;7;7.60;-1;-1;-1;-1;-1;
12000060;8.80;6.25;7.25;5.25;4;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
12000061;7.40;6;3;8.25;5;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
12000062;8.20;8.75;-1;-1;-1;8.50;7.75;9;9.40;-1;-1;-1;-1;-1;
12000063;6.60;6.25;-1;-1;-1;4.25;7;8;3.40;-1;-1;-1;-1;-1;
12000064;4;3.75;-1;-1;-1;4.25;6;-1;-1;-1;-1;-1;-1;-1;
12000065;8.20;8.25;-1;-1;-1;2.25;6.25;8;9.60;-1;-1;-1;-1;-1;
12000066;8.20;6.50;6.50;7.75;5;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
12000067;8.80;6.75;7.50;6.50;4.50;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
12000068;4.20;3.50;-1;-1;-1;3.50;5.25;-1;-1;-1;-1;-1;-1;-1;
12000069;8.20;3.25;6.25;7.25;3;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
12000070;8.20;7.25;-1;-1;-1;7.25;8.50;9.50;10;-1;-1;-1;-1;-1;
12000071;8.60;8.25;-1;-1;-1;6.75;7;6.50;9.40;-1;-1;-1;-1;-1;
12000072;8.60;5.75;7;7.75;5;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
12000073;4.20;3.25;-1;-1;-1;5.25;6.75;-1;-1;-1;-1;-1;-1;-1;
12000074;5.60;8;-1;-1;-1;6.25;8;-1;-1;-1;-1;-1;-1;-1;
12000075;8.40;7.75;-1;-1;-1;6.75;6;8.75;8.20;-1;-1;-1;-1;-1;
12000076;7.60;6.50;-1;-1;-1;8.25;6.75;7.75;8;-1;-1;-1;-1;-1;
12000077;3;5;-1;-1;-1;4.25;7.75;-1;-1;-1;-1;-1;-1;-1;
12000078;7.40;8.25;-1;-1;-1;5.25;7.25;7;8.40;-1;-1;-1;-1;-1;
12000079;5;5.25;-1;-1;-1;6.25;8;-1;-1;-1;-1;-1;-1;-1;
12000080;3;2.50;-1;-1;-1;2.50;6;-1;-1;-1;-1;-1;-1;-1;
12000081;5.20;3.25;-1;-1;-1;3.50;5;-1;-1;-1;-1;-1;-1;-1;
12000082;2.60;5.75;-1;-1;-1;4;6.50;-1;-1;-1;-1;-1;-1;-1;
12000083;4.60;6.25;-1;-1;-1;4;5.25;-1;-1;-1;-1;-1;-1;-1;
12000084;6.60;6.50;-1;-1;-1;6;7.50;-1;-1;-1;-1;-1;-1;-1;
12000085;7.60;7.50;-1;-1;-1;6.50;8;8.75;8.60;-1;-1;-1;-1;-1;
12000086;5.80;6.25;-1;-1;-1;4.75;7.50;-1;-1;-1;-1;-1;-1;-1;
12000087;7.60;5.50;6.75;7.25;5.50;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
12000088;8.80;7;7.50;6.75;4.25;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
12000089;6.60;4.50;-1;-1;-1;3.25;6;7.50;4.20;-1;-1;-1;-1;-1;
12000090;8.40;6.25;5.25;9;7;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
12000091;7;7;7;5.50;7.25;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
12000092;7.80;5.75;7.75;6.75;5;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
12000093;8.20;8.25;-1;-1;-1;6.75;6.25;7.75;7.20;-1;-1;-1;-1;-1;
12000094;8.60;6.25;7.25;7;6.25;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
12000095;8.20;7.75;-1;-1;-1;5;6.75;8.50;7.80;-1;-1;-1;-1;-1;
12000096;8.20;7.50;-1;-1;-1;8.50;8.50;8.75;9.40;-1;-1;-1;-1;-1;
12000097;8.40;6;8.25;4;3.50;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
12000098;8;7.75;-1;-1;-1;9.25;8.25;8.50;7;-1;-1;-1;-1;-1;
12000099;6.80;5.25;-1;-1;-1;7.75;5.75;7.50;3;-1;-1;-1;-1;-1;
12000100;8.80;7.50;7.75;4.75;6;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
12000101;7;8;-1;-1;-1;6;7.50;7.50;7.80;-1;-1;-1;-1;-1;
12000102;7.60;4.75;7.50;8;7;-1;-1;-1;6;-1;-1;-1;-1;-1;
12000103;8;5.75;5;8;7.50;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
12000104;6.60;8.50;-1;-1;-1;8.25;9;7.50;5.60;-1;-1;-1;-1;-1;
