SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
40000001;2.60;5.50;-1;-1;-1;3.75;6.25;6.75;4.40;-1;-1;-1;-1;-1;
40000002;4.80;6.75;-1;-1;-1;4.25;5.25;8.50;4.60;-1;-1;-1;-1;-1;
40000003;7.40;6.50;6;6.50;6.25;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
40000004;7.40;6.25;7;6.75;5.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
40000005;5.80;6.50;4;6.75;5.75;-1;-1;-1;2.60;-1;-1;-1;-1;-1;
40000006;2.20;5.50;-1;-1;-1;4.75;6;6.25;2.40;-1;-1;-1;-1;-1;
40000007;5.60;7.25;-1;-1;-1;6.50;6.75;9;6;-1;-1;-1;-1;-1;
40000008;7.60;7.50;5;6.75;5;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
40000009;5.80;4.50;-1;-1;-1;4.25;7.25;8.75;4.40;-1;-1;-1;-1;-1;
40000010;3.80;5.25;-1;-1;-1;4;7.75;8;2.80;-1;-1;-1;-1;-1;
40000011;4.80;5.25;-1;-1;-1;2.75;6;8.25;2.20;-1;-1;-1;-1;-1;
40000012;7.80;6.25;6.50;4.50;5.25;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
40000013;8;8.25;3.25;6.50;3.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
40000014;6;5.75;-1;-1;-1;4;6.25;7.50;3;-1;-1;-1;-1;-1;
40000015;8;7.25;7.50;7.75;7;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
40000016;3.60;5.25;-1;-1;-1;4.25;4.50;6.50;2.80;-1;-1;-1;-1;-1;
40000017;7.40;8;-1;-1;-1;7;7.75;10;7.40;-1;-1;-1;-1;-1;
40000018;2.40;3.75;-1;-1;-1;2.75;7;6.25;2.80;-1;-1;-1;-1;-1;
40000019;4.40;5;-1;-1;-1;5;5.25;8.25;3.20;-1;-1;-1;-1;-1;
40000020;3.20;6.75;-1;-1;-1;2.75;4.50;5.50;2.80;-1;-1;-1;-1;-1;
40000021;7.80;7.75;-1;-1;-1;7.75;8;9.75;7.60;-1;-1;-1;-1;-1;
40000022;4.20;6.50;-1;-1;-1;4.50;5.75;8.25;3.20;-1;-1;-1;-1;-1;
40000023;2.80;4.50;-1;-1;-1;2.50;4.75;7;2.80;-1;-1;-1;-1;-1;
40000024;2;5;-1;-1;-1;3;5;-1;-1;-1;-1;-1;-1;-1;
40000025;3;5.25;-1;-1;-1;2;4.25;8;3.40;-1;-1;-1;-1;-1;
40000026;3.40;3.75;-1;-1;-1;3.50;6.50;7.25;3;-1;-1;-1;-1;-1;
40000027;1.80;5.42;-1;-1;-1;4;6.25;7.25;1.60;-1;-1;-1;-1;-1;
40000028;2.40;4;-1;-1;-1;3.50;5.25;7.25;3.20;-1;-1;-1;-1;-1;
40000029;3.60;3.75;-1;-1;-1;4;6;6.25;2.20;-1;-1;-1;-1;-1;
