SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
38000001;6.60;6.75;5.75;7;5.50;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
38000002;5.60;6.75;-1;-1;-1;4.25;6;8.75;4.60;-1;-1;-1;-1;-1;
38000003;6.80;7;-1;-1;-1;6.25;8.50;9.50;5.20;-1;-1;-1;-1;-1;
38000004;5.60;6;-1;-1;-1;7;7.50;9.50;5.40;-1;-1;-1;-1;-1;
38000005;9;6;6.75;8.50;6.75;-1;-1;-1;5.20;-1;-1;-1;-1;-1;
38000006;7;6;6.50;7.25;5.25;-1;-1;-1;3;-1;-1;-1;-1;-1;
38000007;8;5.75;6.25;6.50;6.25;-1;-1;-1;4;-1;-1;-1;-1;-1;
38000008;7.60;6.50;7;6;6.25;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
38000009;8.60;5.75;7.25;7.25;7.25;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
38000010;8.60;6.75;-1;-1;-1;6.75;6.25;8.25;5.60;-1;-1;-1;-1;-1;
38000011;7;6.25;-1;-1;-1;7;7.25;8;4.60;-1;-1;-1;-1;-1;
38000012;5;6.41;-1;-1;-1;5.50;7;9.75;4.20;-1;-1;-1;-1;-1;
38000013;8.40;7.16;7.50;8;7.25;-1;-1;-1;7;-1;-1;-1;-1;-1;
38000014;7.20;7.33;-1;-1;-1;7.50;8;8.75;6.20;-1;-1;-1;-1;-1;
38000015;8.20;6.75;7;8;8;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
38000016;4.80;6.50;-1;-1;-1;3.25;6;7;4.40;-1;-1;-1;-1;-1;
38000017;8;7;6.50;7.25;7.75;-1;-1;-1;5;-1;-1;-1;-1;-1;
38000018;6;5.75;-1;-1;-1;5.25;7.75;8.75;5.20;-1;-1;-1;-1;-1;
38000019;5.20;6;-1;-1;-1;6.75;7.25;8.50;4.80;-1;-1;-1;-1;-1;
38000020;6.80;7.25;-1;-1;-1;9;8.50;9.75;6.20;-1;-1;-1;-1;-1;
38000021;5.80;6.50;-1;-1;-1;4.75;6.25;7.75;7.40;-1;-1;-1;-1;-1;
38000022;7.40;7.50;-1;-1;-1;7.75;6.50;8.75;4.80;-1;-1;-1;-1;-1;
38000023;8;7.25;6.50;7.25;6.25;-1;-1;-1;5.80;-1;-1;-1;-1;-1;
38000024;7.20;6.75;-1;-1;-1;7;8.50;9;7.20;-1;-1;-1;-1;-1;
38000025;7.80;7;-1;-1;-1;8.75;8.25;9.75;8.60;-1;-1;-1;-1;-1;
38000026;5.80;6;-1;-1;-1;5.50;6.75;8.50;5.20;-1;-1;-1;-1;-1;
38000027;7;6;-1;-1;-1;5;6.50;8.25;3.80;-1;-1;-1;-1;-1;
38000028;6.60;7.75;-1;-1;-1;6.75;8.75;9.50;5;-1;-1;-1;-1;-1;
38000029;4.60;6.50;-1;-1;-1;3;5.25;7.25;4.60;-1;-1;-1;-1;-1;
38000030;4.40;7;-1;-1;-1;2.75;5.75;8.25;4;-1;-1;-1;-1;-1;
38000031;5.20;5.75;-1;-1;-1;5.25;7;7;4;-1;-1;-1;-1;-1;
38000032;7;8.25;-1;-1;-1;6;7.25;9.75;7.60;-1;-1;-1;-1;-1;
38000033;6.40;6;-1;-1;-1;5.25;7.25;6.75;5.20;-1;-1;-1;-1;-1;
38000034;8.20;6.50;7;7.25;6.25;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
38000035;7.80;7.50;7.25;7.25;6.50;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
38000036;8.60;6.50;8;8;8.25;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
38000037;6.80;7.50;6;6.75;5.50;-1;-1;-1;5;-1;-1;-1;-1;-1;
38000038;7.60;6.75;6.50;7.25;7.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
38000039;5.80;7.75;-1;-1;-1;6.50;7.75;9.50;6.40;-1;-1;-1;-1;-1;
38000040;6.20;8;-1;-1;-1;7.25;8.50;9.75;8;-1;-1;-1;-1;-1;
38000041;5.60;8;-1;-1;-1;5.75;7;9.25;4.40;-1;-1;-1;-1;-1;
38000042;7.20;7.75;-1;-1;-1;6.50;7.25;10;7.60;-1;-1;-1;-1;-1;
38000043;8.40;7;8.50;7.50;8.75;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
38000044;7;7;-1;-1;-1;6.75;6.50;10;4;-1;-1;-1;-1;-1;
38000045;5.60;7.75;-1;-1;-1;6.25;7.50;9.25;4.40;-1;-1;-1;-1;-1;
38000046;7.40;6.25;-1;-1;-1;7.75;8.25;9.50;7.80;-1;-1;-1;-1;-1;
38000047;7;6.50;6.75;6.75;6.50;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
38000048;7.40;6.25;-1;-1;-1;5.75;7.75;9.25;5.60;-1;-1;-1;-1;-1;
38000049;6.20;6.75;-1;-1;-1;4.50;7.50;6.50;4.20;-1;-1;-1;-1;-1;
38000050;8;6.50;6.25;7;5.75;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
38000051;5.60;7.25;-1;-1;-1;6.75;8.25;9.25;6.60;-1;-1;-1;-1;-1;
38000052;5.60;6.75;-1;-1;-1;4.25;6.25;9;3.80;-1;-1;-1;-1;-1;
38000053;6.80;5.25;-1;-1;-1;8.75;8;9.25;5.20;-1;-1;-1;-1;-1;
38000054;8.60;6.50;-1;-1;-1;8.25;8.25;9.75;4.60;-1;-1;-1;-1;-1;
38000055;6;7;-1;-1;-1;8;8;9.75;6.60;-1;-1;-1;-1;-1;
38000056;7.60;8.50;-1;-1;-1;9;9.25;9.75;5.60;-1;-1;-1;-1;-1;
38000057;8.20;7.25;-1;-1;-1;7;7.75;9.50;5.80;-1;-1;-1;-1;-1;
38000058;8.20;6.50;6.75;8.25;7.75;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
38000059;6.80;8;-1;-1;-1;7.75;8;9.75;7.60;-1;-1;-1;-1;-1;
38000060;8.40;6.75;8.25;8.25;7;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
38000061;7;6;-1;-1;-1;5.50;6;8.50;4.20;-1;-1;-1;-1;-1;
38000062;5.60;3.25;-1;-1;-1;4.50;7.75;9;3;-1;-1;-1;-1;-1;
38000063;8;6.75;-1;-1;-1;8;7.75;10;7.60;-1;-1;-1;-1;-1;
38000064;6;4;-1;-1;-1;4;4.75;9;5;-1;-1;-1;-1;-1;
38000065;4.80;6.50;-1;-1;-1;4.75;6.75;9;3.40;-1;-1;-1;-1;-1;
38000066;6.80;7;-1;-1;-1;7.75;7.25;9.75;8.20;-1;-1;-1;-1;-1;
38000067;5.20;6.75;-1;-1;-1;6.75;7.75;8.75;6.20;-1;-1;-1;-1;-1;
38000068;4.40;6.75;-1;-1;-1;6.50;7.50;9;5.60;-1;-1;-1;-1;-1;
38000069;4;5.75;-1;-1;-1;4.75;6.75;8.50;3.80;-1;-1;-1;-1;-1;
38000070;7;3.50;4.50;7.50;6;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
38000071;7;7.75;-1;-1;-1;8.50;9.25;9.75;7;-1;-1;-1;-1;-1;
38000072;6.40;7;-1;-1;-1;5.50;6.50;9;4.80;-1;-1;-1;-1;-1;
38000073;7.20;7.75;5.50;6.50;7;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
38000074;5.40;8;-1;-1;-1;3.50;7;7;5;-1;-1;-1;-1;-1;
38000075;4.40;6.50;-1;-1;-1;4.50;7.25;9.50;3;-1;-1;-1;-1;-1;
38000076;7.20;7;-1;-1;-1;6.75;8.25;8.25;6.60;-1;-1;-1;-1;-1;
38000077;7.60;8.50;-1;-1;-1;8.25;9.50;9.75;7.40;-1;-1;-1;-1;-1;
38000078;8.40;6.50;-1;-1;-1;8.25;8.75;9.50;5.20;-1;-1;-1;-1;-1;
38000079;7;7.50;-1;-1;-1;8.25;7.50;9.50;9.20;-1;-1;-1;-1;-1;
38000080;8.80;8.50;-1;-1;-1;9.50;8.50;9.50;7.20;-1;-1;-1;-1;-1;
38000081;4.60;7;-1;-1;-1;5.75;7;8.25;3.20;-1;-1;-1;-1;-1;
38000082;7.40;6.75;5;7;8;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
38000083;7.40;8.25;-1;-1;-1;8.25;7.25;9.25;5;-1;-1;-1;-1;-1;
38000084;7.20;7;-1;-1;-1;6.75;8;9.25;6.20;-1;-1;-1;-1;-1;
38000085;5.20;3.50;-1;-1;-1;4.25;6.25;7;5;-1;-1;-1;-1;-1;
38000086;7.40;6.75;-1;-1;-1;7.75;8.25;9.25;7.60;-1;-1;-1;-1;-1;
38000087;5.60;6.50;-1;-1;-1;6.75;7.25;8.50;5.40;-1;-1;-1;-1;-1;
38000088;7;7.75;-1;-1;-1;8;7.50;8.50;8;-1;-1;-1;-1;-1;
38000089;8;6.75;7.50;8;6;-1;-1;-1;6;-1;-1;-1;-1;-1;
38000090;6.60;6.75;-1;-1;-1;5;7.50;9.25;5.80;-1;-1;-1;-1;-1;
38000091;6.80;7.50;-1;-1;-1;7.75;8.25;9;8.60;-1;-1;-1;-1;-1;
38000092;7.40;8.25;-1;-1;-1;8;9;8.75;6.60;-1;-1;-1;-1;-1;
38000093;5.60;8;-1;-1;-1;7;8.50;9.25;6.20;-1;-1;-1;-1;-1;
38000094;4.60;5;-1;-1;-1;2.75;5.50;6;4;-1;-1;-1;-1;-1;
38000095;7.20;5.50;-1;-1;-1;6.75;8;8.50;5;-1;-1;-1;-1;-1;
38000096;7;6.25;-1;-1;-1;7.75;8;9.50;9;-1;-1;-1;-1;-1;
38000097;6.80;7;-1;-1;-1;6.75;7.25;9.25;6.20;-1;-1;-1;-1;-1;
38000098;8.20;7.50;7.25;6.75;6;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
38000099;6.40;7.50;-1;-1;-1;6.50;7;9.25;5.20;-1;-1;-1;-1;-1;
38000100;8.20;7.75;7;6.50;7;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
38000101;6.40;6;-1;-1;-1;5.75;7;8.50;4.60;-1;-1;-1;-1;-1;
38000102;6.60;6.50;-1;-1;-1;7;7.75;9.50;6.20;-1;-1;-1;-1;-1;
38000103;6.80;6;-1;-1;-1;5.50;6.75;9.25;5.80;-1;-1;-1;-1;-1;
38000104;6;7;-1;-1;-1;7.75;9.50;9;5.60;-1;-1;-1;-1;-1;
38000105;5;7.25;-1;-1;-1;7.25;7.75;8.75;5.80;-1;-1;-1;-1;-1;
38000106;7.40;6;6.75;7.50;5.50;-1;-1;-1;3.40;-1;-1;-1;-1;-1;
38000107;5;4.75;-1;-1;-1;6;6.50;8;4;-1;-1;-1;-1;-1;
38000108;8;7.25;7.25;8.50;7;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
