SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
36000001;2.40;3;-1;-1;-1;3.25;6.25;-1;-1;-1;-1;-1;-1;-1;
36000002;6.20;6;3.50;4.25;3.50;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
36000003;8;7.25;7.50;6;7;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
36000004;7.40;6.75;3.75;7.75;9;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
36000005;8.60;4;7.25;5.50;5.25;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
36000006;8.60;7;-1;-1;-1;8;6.75;9;9.40;-1;-1;-1;-1;-1;
36000007;8.80;7.75;-1;-1;-1;6.25;8.50;9;8;-1;-1;-1;-1;-1;
36000008;8.40;6.50;6.50;9.25;8.75;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
36000009;8;6.25;6;5;5;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
36000010;7.60;8;-1;-1;-1;6;7;7.75;7.20;-1;-1;-1;-1;-1;
36000011;9.40;7;6.75;9.50;9.50;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
36000012;7.20;7.25;-1;-1;-1;4.50;7.50;9.25;5.80;-1;-1;-1;-1;-1;
36000013;8;8;-1;-1;-1;8.25;8.50;9.50;8.60;-1;-1;-1;-1;-1;
36000014;7.40;4.50;-1;-1;-1;5.75;7.75;9.25;4;-1;-1;-1;-1;-1;
36000015;7.80;5.50;6.25;4;5.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
36000016;8;7.50;-1;-1;-1;3.25;7.25;7.50;8.80;-1;-1;-1;-1;-1;
36000017;7.40;8;-1;-1;-1;5.50;7.75;9.50;8.80;-1;-1;-1;-1;-1;
36000018;8.60;6;6.50;5.25;7;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
36000019;9;6.75;7;8.50;8;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
36000020;8.60;7.50;-1;-1;-1;7.25;8.50;9.25;8.60;-1;-1;-1;-1;-1;
36000021;8.60;8.25;-1;-1;-1;7.50;8;9.75;9;-1;-1;-1;-1;-1;
36000022;9;6.75;6.25;9.25;9.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
36000023;7;5.50;-1;-1;-1;4.50;6.75;7;4.80;-1;-1;-1;-1;-1;
36000024;4.80;5.75;-1;-1;-1;5.75;8;8.25;4.60;-1;-1;-1;-1;-1;
36000025;7.20;7;-1;-1;-1;4.50;7.25;8;4.80;-1;-1;-1;-1;-1;
36000026;8.40;7.25;7.75;6.25;5.75;-1;-1;-1;-1;-1;-1;-1;-1;-1;
36000027;5.40;5;-1;-1;-1;2.25;6;6.25;3.60;-1;-1;-1;-1;-1;
36000028;8.40;6.75;5.75;8.25;8.25;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
36000029;2.40;1.50;-1;-1;-1;3.50;3.75;-1;-1;-1;-1;-1;-1;-1;
36000030;5.40;7.50;-1;-1;-1;4.50;6.50;8;3.60;-1;-1;-1;-1;-1;
36000031;6.60;4.50;-1;-1;-1;4;6.25;7.75;3;-1;-1;-1;-1;-1;
36000032;3;4.75;-1;-1;-1;5;7;8.75;2.80;-1;-1;-1;-1;-1;
36000033;6.60;5.50;5.50;5.75;5.25;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
36000034;2.20;3.50;-1;-1;-1;2;4.75;-1;-1;-1;-1;-1;-1;-1;
36000035;3.60;4;-1;-1;-1;2.25;7.50;6.25;3.20;-1;-1;-1;-1;-1;
36000036;4.20;5.75;-1;-1;-1;5.50;7.75;6.75;2.60;-1;-1;-1;-1;-1;
36000037;7.60;7;7.50;6;7.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
36000038;8;5.75;6.50;5.50;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;
36000039;9.20;7.25;7.50;8.50;9;-1;-1;-1;8;-1;-1;-1;-1;-1;
36000040;7.80;7.25;5.50;7.50;7;-1;-1;-1;8;-1;-1;-1;-1;-1;
36000041;8.40;6.25;6.50;8.75;10;-1;-1;-1;-1;-1;-1;-1;-1;-1;
36000042;7;8.50;-1;-1;-1;9.50;6.25;8.75;8.60;-1;-1;-1;-1;-1;
36000043;7.60;6.50;-1;-1;-1;4.50;7.25;8.25;6.80;-1;-1;-1;-1;-1;
36000044;5;6.75;-1;-1;-1;2.75;6;6.50;4.60;-1;-1;-1;-1;-1;
36000045;6.80;8;-1;-1;-1;6.25;8.25;8.75;4;-1;-1;-1;-1;-1;
36000046;7.80;6.25;7.75;5.25;6.25;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
36000047;5.20;6.25;-1;-1;-1;3.50;6.75;7.75;4.60;-1;-1;-1;-1;-1;
36000048;4.20;3.50;-1;-1;-1;3;6;7;4;-1;-1;-1;-1;-1;
36000049;4.80;6.75;-1;-1;-1;3.25;6.75;8;4.60;-1;-1;-1;-1;-1;
36000050;8;6.25;7;9;9.50;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
