SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
24000001;5.40;8;-1;-1;-1;7.75;9;8.75;5.40;-1;-1;-1;-1;-1;
24000002;8.60;9.25;-1;-1;-1;4.75;8;8.25;9.40;-1;-1;-1;-1;-1;
24000003;8;9.50;-1;-1;-1;9;7;9.50;9.80;-1;-1;-1;-1;-1;
24000004;9.20;6.75;7.75;8.75;5.50;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
24000005;8;7.75;3;8.25;8.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
24000006;6;7.50;-1;-1;-1;8.50;8;9;5.80;-1;-1;-1;-1;-1;
24000007;8.80;9;-1;-1;-1;7.25;8;9.50;-1;9.80;-1;-1;-1;-1;
24000009;9.20;9;-1;-1;-1;8.75;8.25;9.25;9.80;-1;-1;-1;-1;-1;
24000010;8.60;8;7.50;8.75;5.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
24000011;9.60;8;8.50;9;4;-1;-1;-1;8;-1;-1;-1;-1;-1;
24000012;8.80;8.25;7.50;9.25;5.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
24000013;8.40;7;-1;-1;-1;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
24000014;7;8.50;-1;-1;-1;6.25;7.25;9.25;9.60;-1;-1;-1;-1;-1;
24000015;8.40;9;-1;-1;-1;4.50;6.75;9;9.20;-1;-1;-1;-1;-1;
24000016;8.40;9;-1;-1;-1;6.50;8.50;8;9.60;-1;-1;-1;-1;-1;
24000017;8.80;6.25;8;8.75;5.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
24000018;8.40;6.75;7;7.75;3.75;-1;-1;-1;6.40;-1;-1;-1;-1;-1;
24000019;7.60;9.25;-1;-1;-1;7.25;9.25;9;8.40;-1;-1;-1;-1;-1;
24000020;7.60;9;-1;-1;-1;5.50;7.50;9.25;9.40;-1;-1;-1;-1;-1;
24000021;9.20;8.75;8;8.50;6;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
24000022;5.80;8.50;-1;-1;-1;8.75;9.25;9.50;5;-1;-1;-1;-1;-1;
24000023;8.40;7;7.50;8;5.25;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
24000024;9;6.50;9.50;9.50;7;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
24000025;8.40;8;8.25;3.75;6.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
24000026;7;9;-1;-1;-1;9.50;9.25;9.75;9.40;-1;-1;-1;-1;-1;
24000027;8.40;7.75;4.75;7.75;6.75;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
24000028;9.20;6.75;8.75;8;7.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
24000029;8.40;7;8.25;6.50;6.25;-1;-1;-1;10;-1;-1;-1;-1;-1;
24000030;9;7.50;8.25;9.25;8;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
24000031;9.40;8.75;-1;-1;-1;7.75;8.75;9.25;8.80;-1;-1;-1;-1;-1;
24000032;7.80;7;5.25;7.25;8;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
24000033;9.40;7;8.25;7.50;3.75;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
24000034;8;9;-1;-1;-1;8.75;9.25;9.75;9.80;-1;-1;-1;-1;-1;
24000035;8;7.50;5.50;4.25;6.50;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
24000036;8.60;9;-1;-1;-1;8.25;7.75;9.75;8;-1;-1;-1;-1;-1;
24000037;9.40;8.75;5.25;4.50;4.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
24000038;9;7.75;-1;-1;-1;6.25;8;8.25;9.40;-1;-1;-1;-1;-1;
24000039;8.80;7;7.75;6.25;4.75;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
24000040;9;5.25;8.50;6.25;5.25;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
24000041;8;7.50;5.75;7;9;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
24000042;9;6.75;9;3.75;7.75;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
24000043;8.60;8.75;-1;-1;-1;5.75;8;9.50;9.80;-1;-1;-1;-1;-1;
24000044;9;7.50;8.50;6;5;-1;-1;-1;9.80;-1;-1;-1;-1;-1;
24000045;7;7.75;-1;-1;-1;8.50;8.75;8.50;7.80;-1;-1;-1;-1;-1;
24000046;8;8.25;-1;-1;-1;7;9;9.25;9;-1;-1;-1;-1;-1;
24000047;8.20;9.25;-1;-1;-1;6.50;7.75;9.75;9.60;-1;-1;-1;-1;-1;
24000048;9;7;8.25;7.25;6.50;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
24000049;9.20;6.75;6.75;8.75;8.50;-1;-1;-1;6;-1;-1;-1;-1;-1;
24000051;7.20;8.50;4.75;3.75;6.25;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
24000052;5.60;9;-1;-1;-1;9.25;9.25;7.25;7;-1;-1;-1;-1;-1;
24000053;8.40;7.50;5;8.50;7.50;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
24000054;9.20;9.25;-1;-1;-1;7.75;8.50;9.75;9.80;-1;-1;-1;-1;-1;
24000055;9.20;7.75;8.50;8;6.25;-1;-1;-1;9;-1;-1;-1;-1;-1;
