SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
62000001;6.60;7.75;-1;-1;-1;9.75;9.25;9;6.80;-1;-1;-1;-1;-1;
62000002;5.40;8;-1;-1;-1;6.50;5.50;8;7;-1;-1;-1;-1;-1;
62000003;5.40;6.25;-1;-1;-1;7;6.75;9.25;2.80;-1;-1;-1;-1;-1;
62000004;7.40;6.50;7.25;6.50;5.50;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
62000005;6.20;6.50;-1;-1;-1;5.25;5.50;6.75;4;-1;-1;-1;-1;-1;
62000006;6;8.25;-1;-1;-1;2;7.25;9;3.80;-1;-1;-1;-1;-1;
62000007;8.20;9;-1;-1;-1;5;6.75;7.50;9.80;-1;-1;-1;-1;-1;
62000008;8.60;6.50;5;6.25;6;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
62000009;4.20;5;-1;-1;-1;2.75;3.25;7.25;3.40;-1;-1;-1;-1;-1;
62000010;4.40;7.50;-1;-1;-1;2.75;6;8;4.20;-1;-1;-1;-1;-1;
62000011;8.20;7.75;7.50;7.25;3.75;-1;-1;-1;5;-1;-1;-1;-1;-1;
62000012;7;9;-1;-1;-1;4;6.50;8.75;5.60;-1;-1;-1;-1;-1;
62000013;7;7.50;-1;-1;-1;4;6.75;7.25;8.20;-1;-1;-1;-1;-1;
62000014;5.40;7;-1;-1;-1;5.75;7.25;8.25;6;-1;-1;-1;-1;-1;
62000015;6.80;7;-1;-1;-1;5.25;6.75;7.75;8.80;-1;-1;-1;-1;-1;
62000016;7.40;-1;-1;7.75;9.25;-1;-1;-1;-1;-1;-1;-1;-1;-1;
62000017;7;7.25;-1;-1;-1;3.75;7;8.75;7;-1;-1;-1;-1;-1;
62000018;6.80;8;-1;-1;-1;3.50;6.75;7.75;5;-1;-1;-1;-1;-1;
62000019;7.80;8.75;-1;-1;-1;7.75;7;9;4.40;-1;-1;-1;-1;-1;
62000020;6.80;6;4.25;5.50;5;-1;-1;-1;6.60;-1;-1;-1;-1;-1;
62000021;5.20;6.50;-1;-1;-1;3.25;5.50;6.75;3.60;-1;-1;-1;-1;-1;
62000022;3;5.25;-1;-1;-1;4.50;7;8.75;2.40;-1;-1;-1;-1;-1;
62000023;5;7;-1;-1;-1;5;8.50;9;3;-1;-1;-1;-1;-1;
62000024;5.40;8.50;-1;-1;-1;4.50;7.75;9.75;4.80;-1;-1;-1;-1;-1;
62000025;5.60;6.25;-1;-1;-1;4.50;7.50;7.25;3.60;-1;-1;-1;-1;-1;
62000026;3.20;6.50;-1;-1;-1;2.50;5.75;7.50;3.80;-1;-1;-1;-1;-1;
62000027;-1;6;-1;-1;-1;4.25;5;-1;-1;-1;-1;-1;-1;-1;
62000028;4.60;6.25;3;4.75;4;-1;-1;-1;4;-1;-1;-1;-1;-1;
62000029;4.80;7.50;-1;-1;-1;3.25;7.25;8.25;3.20;-1;-1;-1;-1;-1;
62000030;2.80;6.50;-1;-1;-1;5.25;7.75;8.75;2.60;-1;-1;-1;-1;-1;
62000031;5;7;-1;-1;-1;3.25;5.75;5;2.40;-1;-1;-1;-1;-1;
62000032;8.40;8;7;8;5.75;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
62000033;5.80;6.75;-1;-1;-1;7.50;7;8.75;8;-1;-1;-1;-1;-1;
62000034;7.60;7;4.50;7.25;7.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
62000035;5.60;7.75;-1;-1;-1;3.75;7.50;8.25;4.60;-1;-1;-1;-1;-1;
62000036;8;7.75;6.50;6;4.75;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
62000037;8;7;7;8.25;4.50;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
62000038;4.80;6.75;-1;-1;-1;3.25;6.25;6.75;6.60;-1;-1;-1;-1;-1;
62000039;9;7.75;6.25;8;8.25;-1;-1;-1;8;-1;-1;-1;-1;-1;
62000040;7.40;7.50;4.25;5.25;5.25;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
62000041;-1;7.75;-1;-1;-1;7.50;6.75;-1;-1;-1;-1;-1;-1;-1;
