SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
45000001;4;5.25;-1;-1;-1;5.25;5.75;7.50;2.20;-1;-1;-1;-1;-1;
45000002;6;7;6.25;5.75;7;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
45000003;4.80;4;-1;-1;-1;4.75;5.75;7.75;3.80;-1;-1;-1;-1;-1;
45000004;6.20;6;-1;-1;-1;5;6;9;4.80;-1;-1;-1;-1;-1;
45000005;6.80;7.25;-1;-1;-1;6.25;9;9.25;3.20;-1;-1;-1;-1;-1;
45000006;7;4.50;-1;-1;-1;2.75;6.25;7.25;2.80;-1;-1;-1;-1;-1;
45000007;6.40;3.75;-1;-1;-1;2.75;7;7.50;2.40;-1;-1;-1;-1;-1;
45000008;7.40;7;4.50;4.75;8.25;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
45000009;6.60;6.50;-1;-1;-1;4.25;6.75;6.50;5.40;-1;-1;-1;-1;-1;
45000010;6.60;6;-1;-1;-1;8.25;7.25;9.25;5;-1;-1;-1;-1;-1;
45000011;5.80;6.50;-1;-1;-1;5.75;7.75;9;4.40;-1;-1;-1;-1;-1;
45000012;5;6.25;-1;-1;-1;3;7;7.50;3.40;-1;-1;-1;-1;-1;
45000013;5.40;3.50;-1;-1;-1;4.50;6;7.50;4.60;-1;-1;-1;-1;-1;
45000014;5.20;3;-1;-1;-1;4.25;5.50;7.75;3.20;-1;-1;-1;-1;-1;
45000015;6.20;6.25;-1;-1;-1;5;6.50;9;4.80;-1;-1;-1;-1;-1;
45000016;6.20;5;-1;-1;-1;4.50;6.25;5.75;3.80;-1;-1;-1;-1;-1;
45000017;6.80;6.25;-1;-1;-1;5.25;5.75;9.75;7;-1;-1;-1;-1;-1;
45000018;4.60;4;-1;-1;-1;3;7;7.50;3.80;-1;-1;-1;-1;-1;
45000019;3.40;5.50;-1;-1;-1;3.50;3.25;6.25;4;-1;-1;-1;-1;-1;
45000020;6;6.50;-1;-1;-1;6.75;7.75;10;4.40;-1;-1;-1;-1;-1;
45000021;4.80;5.75;-1;-1;-1;5;6.75;8.25;3.60;-1;-1;-1;-1;-1;
45000022;5;6.75;-1;-1;-1;5.25;6.50;8.75;3.80;-1;-1;-1;-1;-1;
45000023;5.80;6.50;-1;-1;-1;4;7.25;9.50;4.80;-1;-1;-1;-1;-1;
45000024;3.80;1.50;-1;-1;-1;3.50;6.25;4.50;2;-1;-1;-1;-1;-1;
45000025;7.40;6.75;5.75;5.25;8;-1;-1;-1;4.40;-1;-1;-1;-1;-1;
45000026;3;3.50;-1;-1;-1;4;6;4.50;3.20;-1;-1;-1;-1;-1;
45000027;6.20;5.75;-1;-1;-1;2.75;7;7;4.60;-1;-1;-1;-1;-1;
45000028;5.20;6;-1;-1;-1;3.25;5.75;7.25;2.80;-1;-1;-1;-1;-1;
45000029;5.80;3;-1;-1;-1;2.50;6.50;8.25;3.80;-1;-1;-1;-1;-1;
45000030;7.20;8;-1;-1;-1;4.75;7.25;9.75;5.60;-1;-1;-1;-1;-1;
45000031;5;7;-1;-1;-1;5.25;7.75;9.50;4;-1;-1;-1;-1;-1;
45000032;6.60;3.50;-1;-1;-1;3.25;4.75;5;3.20;-1;-1;-1;-1;-1;
45000033;5.60;5.50;-1;-1;-1;3.25;5.75;6.50;4.40;-1;-1;-1;-1;-1;
45000034;6.80;6;3.75;4.25;7.25;-1;-1;-1;3.20;-1;-1;-1;-1;-1;
45000035;4.20;4.50;-1;-1;-1;3;5.75;6.50;2.60;-1;-1;-1;-1;-1;
45000037;5.40;6.75;-1;-1;-1;3.75;4.75;7.50;3.60;-1;-1;-1;-1;-1;
45000038;6.60;7.50;-1;-1;-1;2.75;6.75;8.25;5.40;-1;-1;-1;-1;-1;
45000039;6.40;4.75;-1;-1;-1;4.75;7.75;7.25;4.80;-1;-1;-1;-1;-1;
45000040;7.60;7;7;6.25;8;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
45000041;5.80;6.50;-1;-1;-1;3;7.50;10;4.20;-1;-1;-1;-1;-1;
45000042;5;5;-1;-1;-1;2.75;6;6.50;3.80;-1;-1;-1;-1;-1;
45000043;7.20;5;-1;-1;-1;7.25;6.75;8.75;4;-1;-1;-1;-1;-1;
45000044;6;7.50;-1;-1;-1;3.75;8;8.50;4.60;-1;-1;-1;-1;-1;
45000045;7;4.25;-1;-1;-1;3.50;6.75;5.50;2.20;-1;-1;-1;-1;-1;
45000046;7;5.50;-1;-1;-1;2.50;5.25;9;1.80;-1;-1;-1;-1;-1;
45000047;6.60;6.50;-1;-1;-1;6.50;8.25;9.25;6;-1;-1;-1;-1;-1;
45000048;3.20;3;-1;-1;-1;4.25;7;7.25;4;-1;-1;-1;-1;-1;
45000049;6.60;4.75;-1;-1;-1;3;6;7.75;3.20;-1;-1;-1;-1;-1;
45000050;5.40;7.75;-1;-1;-1;3.75;6.25;7.75;5;-1;-1;-1;-1;-1;
45000051;7.20;6.75;-1;-1;-1;6.25;6.25;8.50;3.60;-1;-1;-1;-1;-1;
45000052;6.40;7.25;-1;-1;-1;4;7.25;9;4.80;-1;-1;-1;-1;-1;
45000053;6.80;4.25;-1;-1;-1;3;5;8.25;4.40;-1;-1;-1;-1;-1;
45000054;6.20;4.25;-1;-1;-1;3;5.25;7;3.80;-1;-1;-1;-1;-1;
45000055;6.20;5.25;-1;-1;-1;2;5.75;6.25;3;-1;-1;-1;-1;-1;
45000056;5.80;5.75;-1;-1;-1;4;6;8;3.80;-1;-1;-1;-1;-1;
45000057;6.40;6.75;-1;-1;-1;6;8.25;8.75;5.40;-1;-1;-1;-1;-1;
45000058;7.40;5.75;-1;-1;-1;4.75;7.25;6.75;4.60;-1;-1;-1;-1;-1;
45000059;6.60;7.25;-1;-1;-1;4.50;7;9.25;3.20;-1;-1;-1;-1;-1;
45000060;6;5.75;-1;-1;-1;6;7.25;9.25;3.60;-1;-1;-1;-1;-1;
45000061;5.80;7;-1;-1;-1;3.25;5.75;7.50;5.40;-1;-1;-1;-1;-1;
45000062;8;7.75;-1;-1;-1;7.50;8.75;10;5.40;-1;-1;-1;-1;-1;
45000063;5.20;6.25;-1;-1;-1;4;7;9;2.80;-1;-1;-1;-1;-1;
45000064;7.20;8;-1;-1;-1;4.50;7.25;9.75;6.60;-1;-1;-1;-1;-1;
45000065;3.60;4;-1;-1;-1;3.50;6.75;5.50;2.80;-1;-1;-1;-1;-1;
45000066;6;7;-1;-1;-1;4;5.25;8.25;4.40;-1;-1;-1;-1;-1;
45000067;6.60;3;-1;-1;-1;4.75;7.25;9.25;3.80;-1;-1;-1;-1;-1;
45000068;4.60;5;-1;-1;-1;4;5.75;8.50;2.40;-1;-1;-1;-1;-1;
45000069;7;6.25;-1;-1;-1;2.75;6.25;8.25;3;-1;-1;-1;-1;-1;
45000070;5.60;3.25;-1;-1;-1;3.25;5;3.50;2.60;-1;-1;-1;-1;-1;
45000071;5.60;5.50;-1;-1;-1;2.50;7;7.25;3.80;-1;-1;-1;-1;-1;
45000072;7.20;5.25;-1;-1;-1;3.50;7.25;7.75;4.20;-1;-1;-1;-1;-1;
45000073;5.20;5.75;-1;-1;-1;3.50;5.75;7.75;3.80;-1;-1;-1;-1;-1;
45000074;5.80;7.50;-1;-1;-1;4.50;6;8.75;4;-1;-1;-1;-1;-1;
45000075;7;7.50;-1;-1;-1;4.50;8;9.75;4;-1;-1;-1;-1;-1;
45000076;6;7;-1;-1;-1;4;7;8.50;3.80;-1;-1;-1;-1;-1;
45000077;6.20;7;4.25;5.75;7.50;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
45000078;4.60;3.50;-1;-1;-1;3.25;7.50;8.25;3.40;-1;-1;-1;-1;-1;
45000079;6.20;6.75;-1;-1;-1;5.50;5.75;8.50;5;-1;-1;-1;-1;-1;
45000080;6;5;-1;-1;-1;3.75;8;8.75;3.20;-1;-1;-1;-1;-1;
45000081;5.20;1.75;-1;-1;-1;3;4.25;4.50;1.20;-1;-1;-1;-1;-1;
45000082;5;5.25;-1;-1;-1;4;8.25;10;3.40;-1;-1;-1;-1;-1;
45000083;6.60;6.75;-1;-1;-1;4.25;7;9.75;2;-1;-1;-1;-1;-1;
45000084;6.80;6.75;-1;-1;-1;5.50;8.75;9.50;6;-1;-1;-1;-1;-1;
45000085;6.60;6.50;-1;-1;-1;1.50;7.50;9.25;5.80;-1;-1;-1;-1;-1;
45000086;8.40;5.75;-1;-1;-1;6;8.25;9.75;4.20;-1;-1;-1;-1;-1;
