SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
7000001;7.60;5.50;-1;-1;-1;6.75;8.25;9.75;4.60;-1;-1;-1;-1;-1;
7000002;6.80;5;5.75;3.25;4;-1;-1;-1;4;-1;-1;-1;-1;-1;
7000003;-1;6.50;-1;-1;-1;7;7.75;-1;-1;-1;-1;-1;-1;-1;
7000004;9.40;5.50;9;8.25;7;-1;-1;-1;7.80;-1;-1;-1;-1;-1;
7000005;7;5.50;-1;-1;-1;5;6.25;7.50;3.20;-1;-1;-1;-1;-1;
7000006;7.80;6;5.75;4.50;5.25;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
7000007;8.80;6;7.25;8;6;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
7000008;5.60;8.50;-1;-1;-1;9.25;8.25;9.50;2.60;-1;-1;-1;-1;-1;
7000009;8.60;7.50;2.50;5.25;4;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
7000010;3.20;4;-1;-1;-1;4.25;5.75;-1;-1;-1;-1;-1;-1;-1;
7000011;7.80;7.25;6.25;8;8;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
7000012;4.20;8;-1;-1;-1;5.75;6.50;9;3.20;-1;-1;-1;-1;-1;
7000013;8;6;3.75;6.25;5.75;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
7000014;8;3.50;5;2.50;3.50;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
7000015;6.80;6.50;-1;-1;-1;4.75;6.50;8.75;7.20;-1;-1;-1;-1;-1;
7000016;7.80;7.50;-1;-1;-1;3.75;6.25;8.75;7.60;-1;-1;-1;-1;-1;
7000017;8;6.50;6.75;6.75;7.75;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
7000018;7.60;7.75;-1;-1;-1;7;8;9.50;9.40;-1;-1;-1;-1;-1;
7000019;5.40;4.50;-1;-1;-1;6.50;8.50;7.25;4.40;-1;-1;-1;-1;-1;
7000020;-1;5.50;-1;-1;-1;4.75;7.50;-1;-1;-1;-1;-1;-1;-1;
7000021;2.40;2.50;-1;-1;-1;3;6.25;5.25;4;-1;-1;-1;-1;-1;
7000022;9;5.75;8;6.25;4.25;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
7000023;7.80;5.25;6.75;6.75;4.75;-1;-1;-1;4.20;-1;-1;-1;-1;-1;
7000024;8.20;4.75;4;3.75;3.75;-1;-1;-1;7.20;-1;-1;-1;-1;-1;
7000025;9;5.25;9;9;6.50;-1;-1;-1;6.80;-1;-1;-1;-1;-1;
7000026;7.60;6.25;4;3.75;3.25;-1;-1;-1;4.60;-1;-1;-1;-1;-1;
7000027;4.60;7.75;-1;-1;-1;7.50;8;8.75;5.60;-1;-1;-1;-1;-1;
7000028;6.60;8;-1;-1;-1;2.75;7.25;8.75;7.60;-1;-1;-1;-1;-1;
7000029;8.20;5.50;7.25;4.25;5.25;-1;-1;-1;8.40;-1;-1;-1;-1;-1;
7000030;8.40;6.75;6.50;4.50;3;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
7000031;8.20;6.25;6;8.25;8.50;-1;-1;-1;6;-1;-1;-1;-1;-1;
7000032;5;5.25;-1;-1;-1;7.75;7;8.25;4.20;-1;-1;-1;-1;-1;
