SBD;Toan;Van;Li;Hoa;Sinh;Su;Dia;GDCD;Ngoai ngu (N1);Ngoai ngu (N2);Ngoai ngu (N3);Ngoai ngu (N4);Ngoai ngu (N5);Ngoai ngu (N6)
63000001;7.40;4.25;-1;-1;-1;5.50;7.25;8.50;3;-1;-1;-1;-1;-1;
63000002;6.80;6;-1;-1;-1;4.25;5.75;8;6.60;-1;-1;-1;-1;-1;
63000003;5.20;7.50;-1;-1;-1;8;8.75;7.75;3.60;-1;-1;-1;-1;-1;
63000004;-1;5.75;-1;-1;-1;6.25;6.25;-1;-1;-1;-1;-1;-1;-1;
63000005;8.40;5.50;7.25;5.75;5.50;-1;-1;-1;9.60;-1;-1;-1;-1;-1;
63000006;7.80;5.50;6.75;6.50;4.50;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
63000007;8.40;7.25;-1;-1;-1;6;8.50;9;9.40;-1;-1;-1;-1;-1;
63000008;7.60;8;-1;-1;-1;3.50;8.25;7;8.60;-1;-1;-1;-1;-1;
63000009;4.40;4.75;-1;-1;-1;3.50;6.50;7.50;3.40;-1;-1;-1;-1;-1;
63000010;5.80;5.50;-1;-1;-1;7;7.50;8.75;3.80;-1;-1;-1;-1;-1;
63000011;7.80;6.75;7.50;8.25;4.50;-1;-1;-1;5.60;-1;-1;-1;-1;-1;
63000012;7.60;5.75;6.50;6.25;6;-1;-1;-1;3;-1;-1;-1;-1;-1;
63000013;7.40;7;5;5.75;3.25;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
63000014;6.20;4;-1;-1;-1;6.25;6;5.75;3.20;-1;-1;-1;-1;-1;
63000015;7.20;7.25;-1;-1;-1;5.75;6.50;9;4.80;-1;-1;-1;-1;-1;
63000016;8.80;5.50;7;8.50;8.75;-1;-1;-1;6;-1;-1;-1;-1;-1;
63000017;8.20;6.25;7;5.75;5.75;-1;-1;-1;9.20;-1;-1;-1;-1;-1;
63000018;7.60;6.50;5.50;5.50;6;-1;-1;-1;8.60;-1;-1;-1;-1;-1;
63000019;6.60;6;-1;-1;-1;3.50;5.50;6.75;5;-1;-1;-1;-1;-1;
63000020;7.20;5.50;-1;-1;-1;5.50;7.75;9;8.80;-1;-1;-1;-1;-1;
63000021;6;6.25;-1;-1;-1;4.25;8.50;9.25;3;-1;-1;-1;-1;-1;
63000022;6.60;6;4.50;-1;-1;-1;-1;-1;5.40;-1;-1;-1;-1;-1;
63000023;4.60;6;-1;-1;-1;6.25;7.50;7.75;3;-1;-1;-1;-1;-1;
63000024;6.20;6.25;-1;-1;-1;5;6.50;8.75;2;-1;-1;-1;-1;-1;
63000025;7.80;6.50;6.50;5.75;3.25;-1;-1;-1;7.60;-1;-1;-1;-1;-1;
63000026;8.60;5;7.75;7.50;5.25;-1;-1;-1;6.20;-1;-1;-1;-1;-1;
63000027;5.20;3.25;-1;-1;-1;4.25;7.25;7.75;4.80;-1;-1;-1;-1;-1;
63000028;-1;7;-1;-1;-1;6.25;6.25;-1;-1;-1;-1;-1;-1;-1;
63000029;8.80;6.50;8.75;9;5.75;-1;-1;-1;7.40;-1;-1;-1;-1;-1;
63000030;8.40;5.75;7.75;7.50;7;-1;-1;-1;3.80;-1;-1;-1;-1;-1;
63000031;7.80;6.75;7;7;6.50;-1;-1;-1;9.40;-1;-1;-1;-1;-1;
63000032;6.60;3.75;-1;-1;-1;5.75;7.50;8.50;4;-1;-1;-1;-1;-1;
63000033;6.20;5.50;-1;-1;-1;5.75;7.25;8.25;5.80;-1;-1;-1;-1;-1;
63000034;8;4;7;3.75;2.25;-1;-1;-1;8.20;-1;-1;-1;-1;-1;
63000035;6.80;4.50;5.75;6.50;4.75;-1;-1;-1;7;-1;-1;-1;-1;-1;
63000036;4.40;4.75;-1;-1;-1;3;6.75;6.75;2;-1;-1;-1;-1;-1;
63000037;5.40;4.25;-1;-1;-1;5;6.25;8;4.80;-1;-1;-1;-1;-1;
63000038;7.40;6.50;-1;-1;-1;5.50;9;9;5.80;-1;-1;-1;-1;-1;
63000039;4.20;3.75;-1;-1;-1;4.50;7;8.75;3.20;-1;-1;-1;-1;-1;
63000040;8;7;5.25;6.75;4.75;-1;-1;-1;4.80;-1;-1;-1;-1;-1;
63000041;5.80;6.75;-1;-1;-1;-1;-1;-1;8.80;-1;-1;-1;-1;-1;
